date,month,day,h2_kg,cost_da,cost_per_kg_da,grid_import_mwh,solar_to_elz_mwh,green_fraction,demand_met
2023-01-02,1,2,100.24236857309018,3512.0214250488493,35.03529969454097,2.7490898950401697,2.0626962723679236,0.42867579742825757,True
2023-01-03,1,3,100.01918046033751,2689.271423795122,26.887557080729625,2.1251503973153065,2.7147481444553434,0.5609101350009226,True
2023-01-04,1,4,100.01861340033959,2570.152423017735,25.696741192864895,2.028913341616718,2.8348264202664764,0.5828491159175132,True
2023-01-05,1,5,100.00902303795759,2736.4757590352274,27.36228868065855,2.1417417606691282,2.6672459873682075,0.554637717356792,True
2023-01-06,1,6,100.00095784909601,2976.610937442711,29.765824262748488,2.332758183050853,2.5153359023162762,0.5188298448885813,True
2023-01-07,1,7,100.11080707559178,2532.990348419432,25.301867225052124,1.969801687465817,2.8722330415315787,0.5931872037866013,True
2023-01-08,1,8,100.0135859965675,2913.158073893388,29.127623461010273,2.3192696279271194,2.5451084374398323,0.5232135338246654,True
2023-01-09,1,9,100.08142763244324,3654.233467207002,36.512603323640185,2.884152179213649,2.0869306253108584,0.41981409430786515,True
2023-01-10,1,10,100.01080876806587,2949.443143882328,29.49124379868134,2.357712836599981,2.5008428121741444,0.514729683667437,True
2023-01-11,1,11,100.09305479090156,2324.7009656465034,23.225397311560705,1.860132958405602,2.908814411330283,0.6099489438256014,True
2023-01-12,1,12,100.00242595268762,3054.1895222454054,30.54115430850028,2.426558194018213,2.4159699234203096,0.4989067414436094,True
2023-01-13,1,13,100.01511295745539,3142.9867709372584,31.42511844459175,2.5130600832134022,2.387313036515499,0.4871696456957894,True
2023-01-14,1,14,100.00873382515482,3094.165199787779,30.938949844093667,2.4514230769700243,2.4501451119970614,0.4998696371320672,True
2023-01-15,1,15,100.06004037905069,2303.111723202798,23.01729755932614,1.8306917618055685,2.9429710993823432,0.6165016644367703,True
2023-01-16,1,16,100.04252392989324,2859.2861461294065,28.580707821137214,2.2775572484060547,2.6389717917018,0.5367550501936846,True
2023-01-17,1,17,100.08301077884886,2573.7005831331953,25.71565906245809,2.0672210126610695,2.7388713515468592,0.5698748887857132,True
2023-01-18,1,18,100.00548791168374,3263.5609161492007,32.63381824636761,2.5687177254292552,2.216766151829546,0.4632271696419012,True
2023-01-19,1,19,100.10607170315802,2826.4196756866722,28.23424820891766,2.2428018648029555,2.634860312194138,0.5401891759991209,True
2023-01-20,1,20,100.04522924937297,2826.4139553390287,28.25136167456724,2.2226303995078975,2.543603906200019,0.5336716038390865,True
