date,doy,pv_mwh,perfect,mpc,rule
2023-01-03,3,2.84,54.69870733788299,54.950377967632946,108.88471897617883
2023-01-13,13,2.82,55.08605258326843,55.65634631677978,108.75677449242883
2023-01-23,23,3.49,48.26237029200437,48.490802292442986,100.43236925903312
2023-02-02,33,2.77,55.170843827601225,57.16892622356185,110.83936305137935
2023-02-12,43,0.43,80.2139280386555,80.3817399272025,136.34093246367883
2023-02-22,53,3.47,48.36739562752354,49.04202499708849,99.90914301683395
2023-03-04,63,2.14,61.852588865933065,63.42685632479603,112.77828876492882
2023-03-14,73,4.65,37.68232352975302,39.16825013642056,87.58082001063745
2023-03-24,83,5.15,34.01660949447526,34.489106074738956,82.31756650435852
2023-04-03,93,5.45,31.742437639729776,32.28189772111863,78.75069775830904
2023-04-13,103,4.81,36.65231364464323,38.33005509468973,87.2802438266869
2023-04-23,113,5.14,33.797370309374045,34.801374570229754,82.01077751333797
2023-05-03,123,5.01,33.88703850626411,35.67515065202856,88.5738092142872
2023-05-13,133,4.07,43.0553006432367,46.08913804318501,95.75881941308393
2023-05-23,143,5.06,34.57096087357955,35.940172850767674,82.10725491438743
2023-06-02,153,4.09,41.9278471170959,44.98676205484687,92.12169340228179
2023-06-12,163,5.04,33.85433287141136,35.033433884606275,80.02259188928717
2023-06-22,173,5.62,30.0650701370214,30.227910628796188,73.07223274092378
2023-07-02,183,3.07,52.47228445245304,53.081807385138944,106.38208214458125
2023-07-12,193,4.34,41.27484046976653,45.22452324238075,87.82022349338474
2023-07-22,203,5.75,29.90320931337363,29.953151197114597,71.24728348840931
2023-08-01,213,5.5,30.91760683778519,32.43113458215716,71.06168826039351
2023-08-11,223,5.15,33.493612300139475,35.74284919274503,78.39237327458798
2023-08-21,233,5.05,34.24613852483807,35.37550487697672,81.24265149073771
2023-08-31,243,4.57,38.13370669212805,40.3755970486159,89.22898414908664
2023-09-10,253,3.85,45.20193639002953,46.708875095306674,93.25344170143288
2023-09-20,263,2.2,61.10653931113085,62.20157172241674,112.77942390867882
2023-09-30,273,4.58,38.02828821008637,39.54008513360909,90.16751853823773
2023-10-10,283,4.03,42.81566672158263,44.545423880158175,96.90242809523637
2023-10-20,293,1.99,63.647471515401776,64.21040831763015,118.95183539367883
2023-10-30,303,1.8,65.76180712675107,66.10120234876501,120.89591410252912
2023-11-09,313,1.45,69.4937217739524,70.3057960830214,124.90155815742882
2023-11-19,323,2.98,53.132507599555346,53.48913687635429,108.14478657512934
2023-11-29,333,2.82,54.68453591170968,55.08953563408356,110.03932656867882
2023-12-09,343,2.77,55.06858542612179,55.23219878340849,110.88968654367882
2023-12-19,353,1.0,74.34065190948354,74.49597077962763,129.93260568867882
2023-12-29,363,2.81,55.04868299046702,55.128825958958366,109.47528001617881
