scenario,mode,g_wm2,t_amb_c,p_opt_mw,h2_kg_per_h,cost_per_kg,grid_p_mw,v_secondary_pu,trafo_loading_percent,evals
SUNNY,max_h2,1000.0,25.0,0.7999996036947287,14.645094745527464,84.93916679311505,0.26579960369472866,0.9904156704335454,18.873520327753422,152
SUNNY,min_cost,1000.0,25.0,0.5339818307737895,10.46227078380439,0.0,-0.00021816922621054058,0.9945619303362354,8.8219702266599,302
HOT,max_h2,1000.0,45.0,0.7999996036947287,14.645094745527464,96.88882796232294,0.3031936036947287,0.990211045810925,20.263420795427344,152
HOT,min_cost,1000.0,45.0,0.49677695832376584,9.839615141359628,0.0,-2.9041676234131675e-05,0.9949418907611037,8.204164083764804,302
CLOUDY,max_h2,400.0,25.0,0.7999996036947287,14.645094745527464,182.88371101930107,0.5722968536947286,0.9886952845786258,31.849734232814793,152
CLOUDY,min_cost,400.0,25.0,0.22652780325209249,4.942429659548916,0.0,-0.0011749467479075237,0.9977059703541142,3.7311578899325113,302
NIGHT,max_h2,0.0,25.0,0.7999996036947287,14.645094745527464,255.64861206751343,0.7999996036947287,0.9873529058897237,42.643824599476574,152
NIGHT,min_cost,0.0,25.0,0.08000000182049799,1.8990717434586415,197.1489543823463,0.08000000182049799,0.9987745830961117,4.2156184840349535,302
