mode,g_wm2,t_amb_c,pv_available_mw,p_opt_mw,p_expected_mw,h2_kg_per_h,cost_per_kg,grid_p_mw,v_secondary_pu,trafo_loading_percent,evals
max_h2,1000.0,10.0,0.5622455,0.7999996036947287,0.8,14.645094745527464,75.97692091620915,0.2377541036947287,0.9905681832533991,17.89185594394048,152
min_cost,1000.0,10.0,0.5622455,0.5621239307828653,0.5622455,10.926434382607306,0.0,-0.00012156921713468716,0.9942730899005371,9.289601550729715,302
max_h2,1000.0,15.0,0.552897,0.7999996036947287,0.8,14.645094745527464,78.96433620851111,0.2471026036947287,0.9905174365754889,18.21266101937348,152
min_cost,1000.0,15.0,0.552897,0.5528535966352301,0.552897,10.774164449555212,0.0,-4.340336476982287e-05,0.9943676881645922,9.135530073090523,302
max_h2,1000.0,20.0,0.5435485000000001,0.7999996036947287,0.8,14.645094745527464,81.95175150081305,0.25645110369472857,0.9904665989830294,18.53999442884409,152
min_cost,1000.0,20.0,0.5435485000000001,0.5434973999250091,0.5435485000000001,10.619858574438952,0.0,-5.110007499098401e-05,0.9944635910264015,8.980059298901852,302
max_h2,1000.0,25.0,0.5342,0.7999996036947287,0.8,14.645094745527464,84.93916679311505,0.26579960369472866,0.9904156704335454,18.873520327753422,152
min_cost,1000.0,25.0,0.5342,0.5339818307737895,0.5342,10.46227078380439,0.0,-0.00021816922621054058,0.9945619303362354,8.8219702266599,302
max_h2,1000.0,30.0,0.5248515,0.7999996036947287,0.8,14.645094745527464,87.92658208541702,0.27514810369472864,0.9903646508844207,19.21291999589402,152
min_cost,1000.0,30.0,0.5248515,0.5228989812368303,0.5248515,10.277884137517175,0.0,-0.0019525187631697083,0.9946843894096308,8.638356648728603,302
max_h2,1000.0,35.0,0.515503,0.7999996036947287,0.8,14.645094745527464,90.913997377719,0.2844966036947286,0.9903135402928983,19.557891361906,152
min_cost,1000.0,35.0,0.515503,0.5154670529829722,0.515503,10.153723029105103,0.0,-3.594701702780423e-05,0.9947505975942351,8.514464053116344,302
max_h2,1000.0,40.0,0.5061545000000001,0.7999996036947287,0.8,14.645094745527464,93.90141267002093,0.2938451036947286,0.9902623386160796,19.908148453715146,152
min_cost,1000.0,40.0,0.5061545000000001,0.505863631346541,0.5061545000000001,9.992662662378029,0.0,-0.0002908686534590643,0.9948502321138656,8.355010882585264,302
max_h2,1000.0,45.0,0.49680599999999997,0.7999996036947287,0.8,14.645094745527464,96.88882796232294,0.3031936036947287,0.990211045810925,20.263420795427344,152
min_cost,1000.0,45.0,0.49680599999999997,0.49677695832376584,0.49680599999999997,9.839615141359628,0.0,-2.9041676234131675e-05,0.9949418907611037,8.204164083764804,302
