mode,g_wm2,p_expected_mw,p_full_mw,p_reduced_mw,abs_err_reduced_mw,status
max_h2,1000.0,0.8,0.7999999999998852,0.7999996036947287,3.963052713773507e-07,PASS
max_h2,0.0,0.8,0.7999999999998852,0.7999996036947287,3.963052713773507e-07,PASS
max_h2,400.0,0.8,0.7999999999998852,0.7999996036947287,3.963052713773507e-07,PASS
min_cost,1000.0,0.5342,0.5341999606238627,0.5339818307737895,0.00021816922621054058,PASS
min_cost,0.0,0.08,0.08000000000000031,0.08000000182049799,1.820497988469505e-09,PASS
min_cost,400.0,0.22770275,0.22770273363659724,0.22652780325209249,0.0011749467479075237,PASS
