date,month,day,h2_kg,cost_da,cost_per_kg_da,grid_import_mwh,solar_to_elz_mwh,green_fraction,demand_met
2023-01-02,1,2,200.0289053101152,12416.099245123953,62.07152524218752,8.198754072980712,2.144388079903975,0.20732462613461308,True
2023-01-03,1,3,200.2763282331074,11158.091257038044,55.71348024740507,7.589254469100073,2.781405485259605,0.268199468259524,True
2023-01-04,1,4,200.04891586258964,10952.126617059079,54.74724304220632,7.478098447751792,2.8710886881091717,0.2774216612781659,True
2023-01-05,1,5,200.04187404755365,11173.98542424195,55.85823206987996,7.589969883055039,2.7313300000000003,0.26463042746041643,True
2023-01-06,1,6,200.01823758591772,11461.331747643173,57.30143353912897,7.753618590928924,2.575945,0.2493759757926374,True
2023-01-07,1,7,200.0167880921771,10905.52787791107,54.52306269854355,7.495150310517993,2.8946531944367644,0.27860519143180557,True
2023-01-08,1,8,200.0344414411113,10727.24172194813,53.62697365846447,7.418544209839983,2.9577895428583614,0.2850515040622314,True
2023-01-09,1,9,200.01655464988704,11666.64364369449,58.32839018808225,7.86047602763426,2.4584525,0.23824687741718764,True
2023-01-10,1,10,200.00013436790948,10820.349059760345,54.10170895113407,7.417158464318268,2.913696784906066,0.2820382935018699,True
2023-01-11,1,11,200.29219749212675,10591.074682180131,52.878119141892455,7.335286283683313,3.0010763511238965,0.2903416276261356,True
2023-01-12,1,12,200.01963537140347,11689.65685817186,58.44254658531946,7.864152990387356,2.4602150000000003,0.2382920680753163,True
2023-01-13,1,13,200.00586969095366,11095.458433837362,55.47566404416987,7.577025649032933,2.7472849999999998,0.26609863780661563,True
2023-01-14,1,14,200.01182919701176,10899.288795192479,54.49322092073201,7.494002736154423,2.843162854949675,0.27504278904039503,True
2023-01-15,1,15,200.0209863818423,10609.827689033495,53.043572481835554,7.369206974182431,2.9969734640028065,0.28911067889220277,True
2023-01-16,1,16,200.2969566712958,10437.702574507312,52.11113912048331,7.246785464415796,3.076566678059237,0.29802012326992344,True
2023-01-17,1,17,200.12880992281623,11085.246237171632,55.3905569190507,7.560181671304038,2.8138579584538745,0.2712403324913401,True
2023-01-18,1,18,200.02745842044763,12220.853921561238,61.0958816257797,8.088351185934345,2.2723525,0.21932414717013263,True
2023-01-19,1,19,200.13826769323256,10389.184015578936,51.91003267552632,7.269655225413247,3.068308710572196,0.2968000981210345,True
2023-01-20,1,20,200.07612213368054,11368.087892957345,56.81881361815767,7.67640764796011,2.6283035997866193,0.25505844235677494,True
2023-01-21,1,21,200.03741925013674,11390.933744031807,56.9440147085082,7.7074086266247654,2.6173574192923943,0.25350283073265434,True
2023-01-22,1,22,200.13382120308765,13827.747772010021,69.09250864689275,8.845974702658374,1.483265,0.14359866192458107,True
2023-01-23,1,23,200.06106158637755,10010.087757326233,50.035162654599425,6.9049296518727346,3.433603026315158,0.33211705502071204,True
2023-01-24,1,24,200.05420284367676,13469.796016955312,67.33073249893515,8.68053417897232,1.681765,0.16229651074085172,True
2023-01-25,1,25,200.08015112816253,10108.741134086993,50.52345810960418,7.046075204427616,3.2633304367176397,0.3165391439923128,True
2023-01-26,1,26,200.0632055328074,11009.988314822976,55.032549765966344,7.491878013779507,2.8233989911179243,0.2737104383893371,True
2023-01-27,1,27,200.12003226897656,12211.411035562765,61.020433072635626,8.10659836044346,2.2240875000000004,0.21528943286486965,True
2023-01-28,1,28,200.06259036503758,11130.298330902904,55.634080867364425,7.526384864670586,2.781532770610678,0.26984429532985693,True
2023-01-29,1,29,200.09508491967398,12862.45132416345,64.2816955215414,8.371535327100588,1.940426119469775,0.1881723597904973,True
2023-01-30,1,30,200.1801470106804,10050.553835872004,50.20754548319803,6.994430936123383,3.3439519501467267,0.3234501939938462,True
2023-01-31,1,31,200.19877276774127,9684.469670189805,48.37427091236544,6.864511815797524,3.4757520840107476,0.3361376573836955,True
2023-02-01,2,1,200.06802115968972,9832.624223644194,49.146406140519666,6.838338738372674,3.491252866114756,0.3379855661087384,True
2023-02-02,2,2,200.0223431160364,11065.549899316873,55.32156921538289,7.57163825346297,2.752546142696619,0.2666114859126806,True
2023-02-03,2,3,200.0556302388486,14885.877136862806,74.40868881865705,9.338925753707622,0.9948275,0.09626971687591515,True
2023-02-04,2,4,200.00148778852306,11429.754859316081,57.14834917329034,7.70984606269206,2.611350594882009,0.2530085106910258,True
2023-02-05,2,5,200.13670868914915,9649.378523899331,48.21393629934564,6.743737890482652,3.588143338051114,0.34728848103108906,True
2023-02-06,2,6,200.04639783020974,10685.558060603882,53.41539851006613,7.327148653716385,2.9800717324315587,0.28912467384868673,True
2023-02-07,2,7,200.05944891874896,9815.517024372217,49.06300140993909,6.961405577231549,3.3674987968797496,0.32602671831488317,True
2023-02-08,2,8,200.05794482033863,12439.200765140078,62.17798936358694,8.21592119313023,2.1136071515681345,0.20461797296417164,True
2023-02-09,2,9,200.05400253591162,11021.974276287448,55.094995034197815,7.559009319839644,2.7856959505447496,0.2692871259000343,True
2023-02-10,2,10,200.02965630797524,9576.77942768327,47.87679789310042,6.809302893135603,3.5882846846267986,0.34510742590917526,True
2023-02-11,2,11,200.12695666667454,14325.466044937017,71.58189123315897,9.075932743822055,1.270135,0.12276499936494573,True
2023-02-12,2,12,200.01365269190296,16393.645606341855,81.9626329788312,10.043256859170764,0.37117750000000005,0.03564067785142337,True
2023-02-13,2,13,200.25316991752754,12549.322057040768,62.66728293094732,8.222860024419852,2.0760821709473847,0.20158207819452245,True
2023-02-14,2,14,200.100524107987,12061.341804574218,60.276412859694204,7.95074613720947,2.3402127867552283,0.2274047349762074,True
2023-02-15,2,15,200.02007207502555,12588.632801480713,62.93684764176488,8.279184034258034,2.1132525,0.20334523988034878,True
2023-02-16,2,16,200.01189815283703,9042.087695235476,45.207749032640336,6.470305545253861,3.804841577606302,0.37029558137822527,True
2023-02-17,2,17,200.05488455796552,12635.865701492155,63.16199541646751,8.26434768206934,2.081984131232086,0.20122920555819124,True
2023-02-18,2,18,200.01596188049695,9396.680388661993,46.97965252531298,6.753417369123732,3.618051386906734,0.34884657824409165,True
2023-02-19,2,19,200.05279625099234,9793.183400751748,48.95299433088114,6.882929296010283,3.458514052056942,0.33443243226810543,True
2023-02-20,2,20,200.02318354226537,9870.192760026603,49.345243812405414,6.805811084865205,3.4729471030453003,0.33787613635371366,True
2023-02-21,2,21,200.15101493989795,10031.272220790317,50.118517879125136,6.929733438407279,3.371774271207708,0.32730881403511813,True
2023-02-22,2,22,200.01082080476579,9755.952729977233,48.777124611173896,6.912174200087654,3.3944235828321925,0.3293447221213436,True
2023-02-23,2,23,200.20974789694785,10633.579244713539,53.112195367164965,7.33033894564169,3.0490764567008144,0.29376186793840775,True
2023-02-24,2,24,200.06896242558793,13869.480363838375,69.32349823624881,8.853626565900663,1.46822,0.14224392802450905,True
2023-02-25,2,25,200.0571435412908,9201.234320034342,45.99303057696239,6.641621635881198,3.6939019015841135,0.3573986250618136,True
2023-02-26,2,26,200.28255699329534,9769.773141895665,48.779950129270205,6.741806106024137,3.6068833551703143,0.3485352776982455,True
2023-02-27,2,27,200.0598016815168,10136.626702541897,50.66798335968961,6.9829234939924545,3.2794732932745827,0.3195621219151802,True
2023-02-28,2,28,200.00697945314954,12602.803120637893,63.01181666307813,8.28106223071481,2.0318475,0.19701980847835543,True
2023-03-01,3,1,200.01940163908137,10149.264243117768,50.74139888405068,7.119437732390649,3.242710422957196,0.3129380485921398,True
2023-03-02,3,2,200.04440319243218,13276.19621064196,66.36624668709655,8.590536091421496,1.7378900000000002,0.16826281028853401,True
2023-03-03,3,3,200.02977185110004,7684.048324965086,38.41452326749144,5.906869807969825,4.482297105215283,0.4314395122025334,True
2023-03-04,3,4,200.0399929823505,12518.574383285097,62.58035804065244,8.233473105439211,2.0961668292386273,0.20292738590060086,True
2023-03-05,3,5,200.068842948861,10114.171157968445,50.553454545412144,7.090082308757747,3.2670113507553165,0.31543707705631724,True
2023-03-06,3,6,200.02223298256285,11793.720342991764,58.96204720412202,7.861943324251648,2.424880888930165,0.23572687145006885,True
2023-03-07,3,7,200.10758755509016,8130.247960298786,40.62938372119701,6.0549011504919825,4.254746058988781,0.4126956017540651,True
