mode,g_wm2,t_amb_c,pv_available_mw,p_opt_mw,p_expected_mw,h2_kg_per_h,cost_per_kg,grid_p_mw,v_secondary_pu,trafo_loading_percent,evals
max_h2,0.0,25.0,0.0,0.7999996036947287,0.8,14.645094745527464,255.64861206751343,0.7999996036947287,0.9873529058897237,42.643824599476574,152
min_cost,0.0,25.0,0.0,0.08000000182049799,0.08,1.8990717434586415,197.1489543823463,0.08000000182049799,0.9987745830961117,4.2156184840349535,302
max_h2,50.0,25.0,0.029485335937500003,0.7999996036947287,0.8,14.645094745527464,246.22625088889134,0.7705142677572286,0.9875298480585177,41.22055487764564,152
min_cost,50.0,25.0,0.029485335937500003,0.08000000182049799,0.08,1.8990717434586415,124.48641666474204,0.05051466588299799,0.9989280507197631,2.850376831421046,302
max_h2,100.0,25.0,0.05867853125,0.7999996036947287,0.8,14.645094745527464,236.89724643815376,0.7413210724447287,0.9877041205764387,39.81748420225709,152
min_cost,100.0,25.0,0.05867853125,0.08000000182049799,0.08,1.8990717434586415,52.54381916514664,0.02132147057049799,0.9990791346741369,1.6940206272209823,302
max_h2,150.0,25.0,0.0875795859375,0.7999996036947287,0.8,14.645094745527464,227.66159871530053,0.7124200177572286,0.9878757523339642,38.43501669250112,152
min_cost,150.0,25.0,0.0875795859375,0.08627264228200464,0.0875795859375,2.037792513713889,0.0,-0.0013069436554953573,0.9991320038992982,1.420305563871679,302
max_h2,200.0,25.0,0.1161885,0.7999996036947287,0.8,14.645094745527464,218.51930772033177,0.6838111036947286,0.9880447718428338,37.07360585586336,152
min_cost,200.0,25.0,0.1161885,0.11376211331815382,0.1161885,2.635154419794715,0.0,-0.0024263866818461793,0.9988587181517742,1.8753268279111839,302
max_h2,250.0,25.0,0.1445052734375,0.7999996036947287,0.8,14.645094745527464,209.47037345324748,0.6554943302572287,0.988211207239809,35.733761305560456,152
min_cost,250.0,25.0,0.1445052734375,0.1442272811518995,0.1445052734375,3.279328929694114,0.0,-0.0002779922856004924,0.9985382455111477,2.373344514552106,302
max_h2,300.0,25.0,0.17252990625,0.7999996036947287,0.8,14.645094745527464,200.5147959140476,0.6274696974447287,0.9883750862903409,34.416056506267175,152
min_cost,300.0,25.0,0.17252990625,0.17234917674629965,0.17252990625,3.859367136563191,0.0,-0.0001807295037003498,0.9982519418010409,2.836885853630411,302
max_h2,350.0,25.0,0.2002623984375,0.7999996036947287,0.8,14.645094745527464,191.65257510273213,0.5997372052572287,0.9885364363921352,33.12113770628836,152
min_cost,350.0,25.0,0.2002623984375,0.19915514756885022,0.2002623984375,4.40056428005579,0.0,-0.0011072508686497673,0.9979841239563525,3.2794472332226836,302
max_h2,400.0,25.0,0.22770275,0.7999996036947287,0.8,14.645094745527464,182.88371101930107,0.5722968536947286,0.9886952845786258,31.849734232814793,152
min_cost,400.0,25.0,0.22770275,0.22652780325209249,0.22770275,4.942429659548916,0.0,-0.0011749467479075237,0.9977059703541142,3.7311578899325113,302
max_h2,450.0,25.0,0.2548509609375,0.7999996036947287,0.8,14.645094745527464,174.20820366375457,0.5451486427572287,0.9888516575223545,30.6026703435283,152
min_cost,450.0,25.0,0.2548509609375,0.2545865180180823,0.2548509609375,5.487441661954391,0.0,-0.0002644429194176845,0.997415637221723,4.194034451570688,302
max_h2,500.0,25.0,0.28170703125,0.7999996036947287,0.8,14.645094745527464,165.62605303609243,0.5182925724447287,0.9890055815382619,29.38087883958126,152
min_cost,500.0,25.0,0.28170703125,0.281298228280599,0.28170703125,5.997156623189575,0.0,-0.0004088029694009898,0.997144291415024,4.635363845306042,302
max_h2,550.0,25.0,0.30827096093750006,0.7999996036947287,0.8,14.645094745527464,157.13725913631467,0.4917286427572286,0.9891570825868921,28.185416647047163,152
min_cost,550.0,25.0,0.30827096093750006,0.30815557246416864,0.30827096093750006,6.501241541109613,0.0,-0.00011538847333142366,0.9968690553519269,5.079287342292449,302
max_h2,600.0,25.0,0.33454274999999994,0.7999996036947287,0.8,14.645094745527464,148.74182196442146,0.4654568536947287,0.9893061862775082,27.01748255887262,152
min_cost,600.0,25.0,0.33454274999999994,0.3343064590930771,0.33454274999999994,6.984434932485461,0.0,-0.0002362909069228425,0.996603006275266,5.5118090673667295,302
max_h2,650.0,25.0,0.36052239843750006,0.7999996036947287,0.8,14.645094745527464,140.43974152041258,0.4394772052572286,0.9894529178711289,25.878437285816553,152
min_cost,650.0,25.0,0.36052239843750006,0.35937541161344555,0.36052239843750006,7.440946036290259,0.0,-0.0011469868240545078,0.9963519240197772,5.926887150029103,302
max_h2,700.0,25.0,0.38620990624999996,0.7999996036947287,0.8,14.645094745527464,132.23101780428823,0.4137896974447287,0.989597302283482,24.76982587621193,152
min_cost,700.0,25.0,0.38620990624999996,0.38611268233805823,0.38620990624999996,7.92098403595543,0.0,-9.722391194172397e-05,0.9960735698892557,6.369324179056646,302
max_h2,750.0,25.0,0.41160527343750003,0.7999996036947287,0.8,14.645094745527464,124.11565081604826,0.38839433025722864,0.9897393640878781,23.693402406725355,152
min_cost,750.0,25.0,0.41160527343750003,0.41119439932107765,0.41160527343750003,8.365172710509148,0.0,-0.00041087411642237726,0.9958190045301741,6.784836577484659,302
max_h2,800.0,25.0,0.43670850000000005,0.7999996036947287,0.8,14.645094745527464,116.09364055569274,0.3632911036947286,0.9898791275180103,22.65115658663546,152
min_cost,800.0,25.0,0.43670850000000005,0.43661963284643684,0.43670850000000005,8.809668214442137,0.0,-8.886715356321018e-05,0.9955575160172174,7.206221240646908,302
max_h2,850.0,25.0,0.4615195859375,0.7999996036947287,0.8,14.645094745527464,108.16498702322168,0.3384800177572287,0.9900166164706757,21.6453415128977,152
min_cost,850.0,25.0,0.4615195859375,0.46039113026042494,0.4615195859375,9.220212603872955,0.0,-0.0011284556770750354,0.9953198258373062,7.60058423142093,302
max_h2,900.0,25.0,0.48603853125000007,0.7999996036947287,0.8,14.645094745527464,100.32969021863501,0.3139610724447286,0.9901518545084249,20.678501208621487,152
min_cost,900.0,25.0,0.48603853125000007,0.4860029982003993,0.48603853125000007,9.657312401205482,0.0,-3.553304960074444e-05,0.995052182256529,8.025344905738113,302
max_h2,950.0,25.0,0.5102653359374999,0.7999996036947287,0.8,14.645094745527464,92.58775014193286,0.28973426775722877,0.9902848648621404,19.753495714304474,152
min_cost,950.0,25.0,0.5102653359374999,0.5096960144505484,0.5102653359374999,10.057020670298698,0.0,-0.0005693214869515462,0.994812436277975,8.418663367462553,302
max_h2,1000.0,25.0,0.5342,0.7999996036947287,0.8,14.645094745527464,84.93916679311505,0.26579960369472866,0.9904156704335454,18.873520327753422,152
min_cost,1000.0,25.0,0.5342,0.5339818307737895,0.5342,10.46227078380439,0.0,-0.00021816922621054058,0.9945619303362354,8.8219702266599,302
max_h2,1050.0,25.0,0.5578425234375,0.7999996036947287,0.8,14.645094745527464,77.38394017218174,0.2421570802572287,0.9905442937976449,18.04211408936432,152
min_cost,1050.0,25.0,0.5578425234375,0.5577560209846397,0.5578425234375,10.854765595698968,0.0,-8.650245286023761e-05,0.9943176732309519,9.217003667063011,302
max_h2,1100.0,25.0,0.58119290625,0.7999996036947287,0.8,14.645094745527464,69.92207027913284,0.2188066974447287,0.9906707572050985,17.26315085429396,152
min_cost,1100.0,25.0,0.58119290625,0.580859012454031,0.58119290625,11.232317341686661,0.0,-0.00033389379596893143,0.9940821339475979,9.601072108162857,302
max_h2,1150.0,25.0,0.6042511484374999,0.7999996036947287,0.8,14.645094745527464,62.55355711396838,0.19574845525722873,0.9907950825845324,16.540804513635678,152
min_cost,1150.0,25.0,0.6042511484374999,0.6042079447390091,0.6042511484374999,11.610146680596404,0.0,-4.3203698490867914e-05,0.9938411771243714,9.989415065024087,302
max_h2,1200.0,25.0,0.62701725,0.7999996036947287,0.8,14.645094745527464,55.27840067668834,0.1729823536947287,0.9909172915447853,15.879478610034731,152
min_cost,1200.0,25.0,0.62701725,0.6267924840645007,0.62701725,11.972139756514895,0.0,-0.00022476593549924928,0.9936103874121888,10.36521987481001,302
