time,G(i),H_sun,T2m,WS10m,Int
20200322:0609,18.94,3.85,9.55,4.21,0.0
20200322:0709,291.37,16.43,10.7,3.59,0.0
20200322:0809,562.84,28.66,13.37,3.86,0.0
20200322:0909,803.26,40.1,15.87,3.59,0.0
20200322:1009,1005.81,49.92,17.7,2.97,0.0
20200322:1109,1044.48,56.55,18.95,2.28,0.0
20200322:1209,1062.5,57.91,19.93,1.93,0.0
20200322:1309,708.93,53.39,20.7,1.86,0.0
20200322:1409,742.07,44.74,21.25,1.79,0.0
20200322:1509,688.41,33.88,21.52,1.66,0.0
20200322:1609,410.48,21.94,21.62,1.93,0.0
20200322:1709,137.03,9.47,21.61,2.48,0.0
20200322:1809,0.0,0.0,21.22,2.9,0.0
20200322:1909,0.0,0.0,20.63,2.48,0.0
20200322:2009,0.0,0.0,19.71,3.38,0.0
20200322:2109,0.0,0.0,18.61,4.62,0.0
20200322:2209,0.0,0.0,17.07,5.72,0.0
20200322:2309,0.0,0.0,15.55,6.34,0.0
20200323:0009,0.0,0.0,14.44,6.34,0.0
20200323:0109,0.0,0.0,13.67,5.86,0.0
20200323:0209,0.0,0.0,12.99,5.59,0.0
20200323:0309,0.0,0.0,12.53,5.66,0.0
20200323:0409,0.0,0.0,12.21,5.66,0.0
20200323:0509,0.0,0.0,11.94,5.72,0.0
20200323:0609,17.03,4.13,11.72,5.86,0.0
20200323:0709,219.59,16.71,12.81,5.45,0.0
20200323:0809,444.73,28.96,14.46,6.62,0.0
20200323:0909,747.94,40.43,16.38,7.38,0.0
20200323:1009,974.0,50.28,18.26,8.21,0.0
20200323:1109,1119.06,56.95,20.04,8.83,0.0
20200323:1209,1088.59,58.29,21.28,9.31,0.0
20200323:1309,1068.65,53.7,22.6,9.66,0.0
20200323:1409,914.99,44.98,23.5,9.86,0.0
20200323:1509,656.13,34.08,23.88,9.86,0.0
20200323:1609,391.01,22.1,23.92,9.79,0.0
20200323:1709,131.66,9.62,23.54,9.45,0.0
20200323:1809,0.0,0.0,22.41,8.28,0.0
20200323:1909,0.0,0.0,21.57,7.72,0.0
20200323:2009,0.0,0.0,20.67,9.31,0.0
20200323:2109,0.0,0.0,19.36,10.34,0.0
20200323:2209,0.0,0.0,18.4,10.55,0.0
20200323:2309,0.0,0.0,17.46,10.28,0.0
20200324:0009,0.0,0.0,16.55,9.79,0.0
20200324:0109,0.0,0.0,15.7,9.31,0.0
20200324:0209,0.0,0.0,14.92,8.97,0.0
20200324:0309,0.0,0.0,14.14,8.62,0.0
20200324:0409,0.0,0.0,13.31,8.41,0.0
20200324:0509,0.0,0.0,12.55,8.41,0.0
20200324:0609,23.46,4.41,11.9,8.34,0.0
20200324:0709,240.36,17.0,12.86,8.62,0.0
20200324:0809,521.17,29.26,14.06,10.9,0.0
20200324:0909,783.6,40.76,15.58,11.45,0.0
20200324:1009,989.11,50.65,17.16,11.03,0.0
20200324:1109,1074.84,57.35,18.57,10.0,0.0
20200324:1209,1142.18,58.67,20.32,8.34,0.0
20200324:1309,1071.41,54.01,21.38,6.62,0.0
20200324:1409,859.48,45.22,22.11,5.03,0.0
20200324:1509,48.24,34.27,22.36,3.24,0.0
20200324:1609,65.27,22.26,21.77,3.17,0.0
20200324:1709,79.6,9.77,20.15,5.24,0.0
20200324:1809,0.0,0.0,18.23,4.83,0.0
20200324:1909,0.0,0.0,15.63,8.21,0.0
20200324:2009,0.0,0.0,14.08,8.41,0.0
20200324:2109,0.0,0.0,13.57,6.62,0.0
20200324:2209,0.0,0.0,13.21,6.07,0.0
20200324:2309,0.0,0.0,12.64,6.14,0.0
20200325:0009,0.0,0.0,12.02,6.0,0.0
20200325:0109,0.0,0.0,11.38,5.38,0.0
20200325:0209,0.0,0.0,10.68,4.9,0.0
20200325:0309,0.0,0.0,10.11,4.9,0.0
20200325:0409,0.0,0.0,9.78,4.76,0.0
20200325:0509,0.0,0.0,9.37,4.41,0.0
20200325:0609,23.51,4.69,9.49,4.55,0.0
20200325:0709,171.64,17.28,10.58,4.21,0.0
20200325:0809,510.77,29.56,12.35,6.0,0.0
20200325:0909,599.2,41.08,13.85,7.38,0.0
20200325:1009,909.22,51.02,14.65,7.72,0.0
20200325:1109,313.48,57.75,15.61,7.24,0.0
20200325:1209,122.03,59.05,16.01,6.62,0.0
20200325:1309,375.18,54.32,15.91,6.83,0.0
20200325:1409,94.6,45.46,15.65,6.97,0.0
20200325:1509,168.38,34.45,16.1,6.62,0.0
20200325:1609,210.82,22.42,16.12,6.41,0.0
20200325:1709,85.82,9.92,15.7,6.07,0.0
20200325:1809,0.0,0.0,15.05,5.52,0.0
20200325:1909,0.0,0.0,13.97,5.24,0.0
20200325:2009,0.0,0.0,12.92,4.55,0.0
20200325:2109,0.0,0.0,12.19,4.07,0.0
20200325:2209,0.0,0.0,11.26,3.72,0.0
20200325:2309,0.0,0.0,10.11,3.79,0.0
20200326:0009,0.0,0.0,9.05,4.07,0.0
20200326:0109,0.0,0.0,7.94,4.28,0.0
20200326:0209,0.0,0.0,6.99,4.21,0.0
20200326:0309,0.0,0.0,6.12,3.93,0.0
20200326:0409,0.0,0.0,5.3,3.52,0.0
20200326:0509,0.0,0.0,4.48,3.17,0.0
20200326:0609,30.42,4.96,3.67,2.83,0.0
20200326:0709,316.0,17.56,5.06,2.34,0.0
20200326:0809,595.16,29.86,8.59,2.0,0.0
20200326:0909,829.95,41.41,10.68,1.38,0.0
20200326:1009,1006.63,51.38,12.22,1.38,0.0
20200326:1109,1084.67,58.15,13.92,3.03,0.0
20200326:1209,1114.64,59.43,15.55,4.83,0.0
20200326:1309,1051.64,54.62,16.79,6.21,0.0
20200326:1409,904.95,45.69,17.63,6.97,0.0
20200326:1509,637.72,34.64,18.13,7.66,0.0
20200326:1609,407.28,22.58,18.46,8.14,0.0
20200326:1709,144.24,10.06,18.58,8.07,0.0
20200326:1809,0.0,0.0,18.18,6.9,0.0
20200326:1909,0.0,0.0,17.2,6.28,0.0
20200326:2009,0.0,0.0,16.5,6.34,0.0
20200326:2109,0.0,0.0,15.94,6.62,0.0
20200326:2209,0.0,0.0,15.37,6.55,0.0
20200326:2309,0.0,0.0,14.69,6.34,0.0
20200327:0009,0.0,0.0,14.09,6.34,0.0
20200327:0109,0.0,0.0,13.57,6.34,0.0
20200327:0209,0.0,0.0,13.28,6.0,0.0
20200327:0309,0.0,0.0,12.67,5.38,0.0
20200327:0409,0.0,0.0,12.03,4.55,0.0
20200327:0509,0.0,0.0,11.01,3.86,0.0
20200327:0609,24.39,5.24,10.18,3.31,0.0
20200327:0709,308.1,17.85,11.51,3.03,0.0
20200327:0809,587.13,30.16,14.39,2.97,0.0
20200327:0909,833.27,41.73,16.82,2.34,0.0
20200327:1009,971.62,51.75,18.61,1.66,0.0
20200327:1109,1085.03,58.55,20.41,2.83,0.0
20200327:1209,1138.33,59.81,22.32,5.03,0.0
20200327:1309,537.98,54.93,23.38,6.97,0.0
20200327:1409,747.13,45.92,24.11,7.86,0.0
20200327:1509,171.22,34.82,24.3,8.28,0.0
20200327:1609,314.52,22.73,24.21,8.07,0.0
20200327:1709,44.46,10.21,23.83,7.03,0.0
20200327:1809,0.0,0.0,23.07,5.1,0.0
20200327:1909,0.0,0.0,21.63,3.93,0.0
20200327:2009,0.0,0.0,20.55,1.72,0.0
20200327:2109,0.0,0.0,19.27,0.97,0.0
20200327:2209,0.0,0.0,19.03,0.14,0.0
20200327:2309,0.0,0.0,18.3,0.34,0.0
20200328:0009,0.0,0.0,15.53,2.41,0.0
20200328:0109,0.0,0.0,14.97,3.66,0.0
20200328:0209,0.0,0.0,14.0,4.9,0.0
20200328:0309,0.0,0.0,13.06,5.38,0.0
20200328:0409,0.0,0.0,12.0,4.97,0.0
20200328:0509,0.0,0.0,11.03,4.07,0.0
20200328:0609,33.23,5.52,10.14,4.0,0.0
20200328:0709,301.64,18.13,11.68,3.86,0.0
20200328:0809,582.27,30.45,13.77,4.83,0.0
20200328:0909,829.59,42.06,15.93,4.9,0.0
20200328:1009,993.49,52.11,17.91,4.34,0.0
20200328:1109,1095.14,58.95,19.61,3.31,0.0
20200328:1209,1110.71,60.19,21.04,2.28,0.0
20200328:1309,1070.27,55.23,22.27,1.24,0.0
20200328:1409,884.41,46.15,23.32,0.41,0.0
20200328:1509,604.49,35.0,23.97,0.34,0.0
20200328:1609,257.09,22.89,24.23,0.97,0.0
20200328:1709,148.97,10.35,24.01,1.79,0.0
20200328:1809,0.0,0.0,23.23,3.59,0.0
20200328:1909,0.0,0.0,20.19,6.69,0.0
20200328:2009,0.0,0.0,18.77,7.1,0.0
20200328:2109,0.0,0.0,17.38,6.69,0.0
20200328:2209,0.0,0.0,15.96,6.34,0.0
20200328:2309,0.0,0.0,14.74,5.72,0.0
20200329:0009,0.0,0.0,13.78,4.76,0.0
20200329:0109,0.0,0.0,13.11,4.21,0.0
20200329:0209,0.0,0.0,12.5,4.28,0.0
20200329:0309,0.0,0.0,12.01,4.62,0.0
20200329:0409,0.0,0.0,11.65,5.1,0.0
20200329:0509,0.0,0.0,11.17,5.45,0.0
20200329:0609,54.01,5.79,11.02,5.86,0.0
20200329:0709,158.71,18.41,11.01,6.9,0.0
20200329:0809,610.13,30.75,12.23,7.72,0.0
20200329:0909,839.39,42.38,13.89,7.66,0.0
20200329:1009,1009.51,52.47,15.33,6.62,0.0
20200329:1109,1085.52,59.34,16.58,5.66,0.0
20200329:1209,1086.86,60.56,17.68,5.31,0.0
20200329:1309,1056.12,55.53,18.48,5.52,0.0
20200329:1409,898.17,46.38,18.97,6.0,0.0
20200329:1509,690.53,35.18,19.08,6.34,0.0
20200329:1609,411.16,23.04,18.79,6.55,0.0
20200329:1709,146.53,10.49,18.2,6.41,0.0
20200329:1809,0.0,0.0,17.35,5.66,0.0
20200329:1909,0.0,0.0,16.74,4.07,0.0
20200329:2009,0.0,0.0,15.69,4.0,0.0
20200329:2109,0.0,0.0,14.52,4.28,0.0
20200329:2209,0.0,0.0,13.37,4.21,0.0
20200329:2309,0.0,0.0,12.31,4.0,0.0
20200330:0009,0.0,0.0,11.31,3.66,0.0
20200330:0109,0.0,0.0,10.34,3.38,0.0
20200330:0209,0.0,0.0,9.43,3.1,0.0
20200330:0309,0.0,0.0,8.51,2.83,0.0
20200330:0409,0.0,0.0,7.59,2.62,0.0
20200330:0509,0.0,0.0,6.7,2.48,0.0
20200330:0609,66.15,6.07,5.98,2.34,0.0
20200330:0709,325.43,18.69,7.59,1.79,0.0
20200330:0809,597.91,31.04,12.03,1.17,0.0
20200330:0909,846.78,42.7,14.02,0.9,0.0
20200330:1009,1002.26,52.83,15.68,1.31,0.0
20200330:1109,1084.83,59.74,17.22,1.93,0.0
20200330:1209,1106.68,60.94,18.58,2.48,0.0
20200330:1309,1059.97,55.82,19.68,2.9,0.0
20200330:1409,915.88,46.6,20.48,3.1,0.0
20200330:1509,668.28,35.36,21.02,3.45,0.0
20200330:1609,401.96,23.19,21.21,3.79,0.0
20200330:1709,138.2,10.63,20.99,4.07,0.0
20200330:1809,0.0,0.0,20.38,3.86,0.0
20200330:1909,0.0,0.0,19.53,3.86,0.0
20200330:2009,0.0,0.0,18.49,4.07,0.0
20200330:2109,0.0,0.0,17.39,4.41,0.0
20200330:2209,0.0,0.0,16.37,4.9,0.0
20200330:2309,0.0,0.0,15.54,5.45,0.0
20200331:0009,0.0,0.0,14.8,5.66,0.0
20200331:0109,0.0,0.0,14.1,5.38,0.0
20200331:0209,0.0,0.0,13.38,4.9,0.0
20200331:0309,0.0,0.0,12.73,4.62,0.0
20200331:0409,0.0,0.0,12.11,4.48,0.0
20200331:0509,0.0,0.0,11.49,4.28,0.0
20200331:0609,65.58,6.34,11.0,4.21,0.0
20200331:0709,323.46,18.97,12.8,4.55,0.0
20200331:0809,438.55,31.33,15.46,6.07,0.0
20200331:0909,772.03,43.02,17.87,7.59,0.0
20200331:1009,986.86,53.19,19.87,8.41,0.0
20200331:1109,1065.73,60.13,21.42,8.14,0.0
20200331:1209,1100.23,61.31,22.63,7.59,0.0
20200331:1309,1047.29,56.12,23.67,7.31,0.0
20200331:1409,858.08,46.82,24.4,7.17,0.0
20200331:1509,630.26,35.53,24.71,6.97,0.0
20200331:1609,422.01,23.34,24.71,6.76,0.0
20200331:1709,130.37,10.77,24.35,6.69,0.0
20200331:1809,0.0,0.0,23.24,5.52,0.0
20200331:1909,0.0,0.0,21.76,5.24,0.0
20200331:2009,0.0,0.0,20.57,5.31,0.0
20200331:2109,0.0,0.0,19.51,5.45,0.0
20200331:2209,0.0,0.0,18.55,5.45,0.0
20200331:2309,0.0,0.0,17.72,5.24,0.0
20200401:0009,0.0,0.0,16.98,5.17,0.0
20200401:0109,0.0,0.0,16.38,5.17,0.0
20200401:0209,0.0,0.0,15.78,5.03,0.0
20200401:0309,0.0,0.0,15.23,4.9,0.0
20200401:0409,0.0,0.0,14.69,4.9,0.0
20200401:0509,0.0,0.0,14.07,4.69,0.0
20200401:0609,62.0,6.62,13.46,4.34,0.0
20200401:0709,301.42,19.24,15.18,4.55,0.0
20200401:0809,552.24,31.62,17.96,5.52,0.0
20200401:0909,824.37,43.34,20.98,5.93,0.0
20200401:1009,1006.71,53.55,23.87,6.07,0.0
20200401:1109,1081.85,60.52,26.3,6.21,0.0
20200401:1209,1088.64,61.68,28.12,6.76,0.0
20200401:1309,1042.3,56.41,29.15,8.34,0.0
20200401:1409,905.81,47.04,29.5,9.1,0.0
20200401:1509,675.14,35.71,29.46,9.1,0.0
20200401:1609,424.09,23.49,29.1,8.9,0.0
20200401:1709,140.6,10.91,28.36,8.07,0.0
20200401:1809,0.0,0.0,27.02,5.86,0.0
20200401:1909,0.0,0.0,25.74,5.52,0.0
20200401:2009,0.0,0.0,24.11,4.48,0.0
20200401:2109,0.0,0.0,22.13,3.93,0.0
20200401:2209,0.0,0.0,20.27,5.24,0.0
20200401:2309,0.0,0.0,19.04,5.72,0.0
20200402:0009,0.0,0.0,18.1,5.86,0.0
20200402:0109,0.0,0.0,16.99,5.52,0.0
20200402:0209,0.0,0.0,16.02,5.1,0.0
20200402:0309,0.0,0.0,15.13,4.9,0.0
20200402:0409,0.0,0.0,14.35,4.9,0.0
20200402:0509,0.0,0.0,13.57,5.17,0.0
20200402:0609,66.17,6.89,12.99,5.72,0.0
20200402:0709,313.07,19.52,14.89,5.79,0.0
20200402:0809,502.63,31.91,16.92,6.9,0.0
20200402:0909,828.56,43.65,18.98,7.31,0.0
20200402:1009,965.15,53.91,20.79,7.59,0.0
20200402:1109,1098.74,60.92,22.21,7.24,0.0
20200402:1209,1129.86,62.05,23.26,6.48,0.0
20200402:1309,991.87,56.69,23.99,5.59,0.0
20200402:1409,886.86,47.25,24.38,4.69,0.0
20200402:1509,657.41,35.88,24.46,3.93,0.0
20200402:1609,319.85,23.64,24.29,3.52,0.0
20200402:1709,145.26,11.05,23.87,3.59,0.0
20200402:1809,0.0,0.0,23.17,3.86,0.0
20200402:1909,0.0,0.0,22.11,3.38,0.0
20200402:2009,0.0,0.0,21.27,3.45,0.0
20200402:2109,0.0,0.0,20.39,4.14,0.0
20200402:2209,0.0,0.0,19.38,5.79,0.0
20200402:2309,0.0,0.0,18.07,6.62,0.0
20200403:0009,0.0,0.0,16.91,6.48,0.0
20200403:0109,0.0,0.0,15.9,6.69,0.0
20200403:0209,0.0,0.0,14.67,6.97,0.0
20200403:0309,0.0,0.0,13.75,6.14,0.0
20200403:0409,0.0,0.0,12.73,5.66,0.0
20200403:0509,0.0,0.0,11.94,5.59,0.0
20200403:0609,8.51,7.16,11.27,5.45,0.0
20200403:0709,39.73,19.79,11.85,6.34,0.0
20200403:0809,617.53,32.2,12.18,7.17,0.0
20200403:0909,858.04,43.96,13.35,7.86,0.0
20200403:1009,1003.93,54.26,14.87,8.0,0.0
20200403:1109,1140.01,61.3,16.45,7.79,0.0
20200403:1209,1129.22,62.42,17.82,7.59,0.0
20200403:1309,1082.84,56.98,19.01,7.38,0.0
20200403:1409,905.66,47.47,19.76,7.38,0.0
20200403:1509,668.31,36.05,20.16,7.59,0.0
20200403:1609,386.76,23.79,20.17,7.66,0.0
20200403:1709,136.48,11.19,19.86,7.52,0.0
20200403:1809,0.0,0.0,19.02,6.55,0.0
20200403:1909,0.0,0.0,17.64,7.45,0.0
20200403:2009,0.0,0.0,16.37,7.52,0.0
20200403:2109,0.0,0.0,15.2,7.24,0.0
20200403:2209,0.0,0.0,14.04,6.69,0.0
20200403:2309,0.0,0.0,12.95,6.0,0.0
20200404:0009,0.0,0.0,11.92,5.59,0.0
20200404:0109,0.0,0.0,10.97,5.52,0.0
20200404:0209,0.0,0.0,10.13,5.24,0.0
20200404:0309,0.0,0.0,9.42,4.62,0.0
20200404:0409,0.0,0.0,8.75,4.34,0.0
20200404:0509,0.0,0.0,8.2,4.41,0.0
20200404:0609,77.72,7.43,7.85,4.55,0.0
20200404:0709,330.44,20.06,9.75,4.62,0.0
20200404:0809,580.83,32.48,12.02,5.66,0.0
20200404:0909,823.01,44.27,13.98,5.72,0.0
20200404:1009,1013.24,54.61,15.58,5.24,0.0
20200404:1109,1093.75,61.69,17.02,4.83,0.0
20200404:1209,1087.02,62.78,18.2,4.62,0.0
20200404:1309,1028.14,57.26,19.12,4.34,0.0
20200404:1409,896.91,47.68,19.7,4.0,0.0
20200404:1509,479.63,36.21,19.99,3.86,0.0
20200404:1609,400.24,23.93,19.97,3.72,0.0
20200404:1709,148.01,11.33,19.63,3.72,0.0
20200404:1809,0.0,0.0,18.95,3.31,0.0
20200404:1909,0.0,0.0,17.92,2.62,0.0
20200404:2009,0.0,0.0,16.96,2.62,0.0
20200404:2109,0.0,0.0,16.01,2.55,0.0
20200404:2209,0.0,0.0,15.1,2.48,0.0
20200404:2309,0.0,0.0,14.15,2.62,0.0
20200405:0009,0.0,0.0,13.26,2.76,0.0
20200405:0109,0.0,0.0,12.61,2.83,0.0
20200405:0209,0.0,0.0,11.89,2.76,0.0
20200405:0309,0.0,0.0,11.13,2.55,0.0
20200405:0409,0.0,0.0,10.32,2.41,0.0
20200405:0509,0.0,0.0,9.83,2.34,0.0
20200405:0609,77.13,7.69,10.0,2.41,0.0
20200405:0709,319.38,20.33,11.93,2.48,0.0
20200405:0809,590.0,32.76,15.68,3.45,0.0
20200405:0909,830.81,44.58,18.15,4.21,0.0
20200405:1009,971.43,54.96,19.85,4.14,0.0
20200405:1109,1079.82,62.08,21.19,3.93,0.0
20200405:1209,1097.87,63.14,22.29,3.79,0.0
20200405:1309,1037.31,57.54,23.13,3.66,0.0
20200405:1409,821.56,47.88,23.67,3.52,0.0
20200405:1509,654.75,36.38,24.06,3.59,0.0
20200405:1609,395.44,24.07,24.13,3.72,0.0
20200405:1709,140.35,11.47,23.88,3.52,0.0
20200405:1809,0.0,0.0,23.21,3.17,0.0
20200405:1909,0.0,0.0,22.28,3.52,0.0
20200405:2009,0.0,0.0,21.06,3.93,0.0
20200405:2109,0.0,0.0,19.96,4.55,0.0
20200405:2209,0.0,0.0,18.92,5.31,0.0
20200405:2309,0.0,0.0,18.11,5.24,0.0
20200406:0009,0.0,0.0,17.24,4.21,0.0
20200406:0109,0.0,0.0,16.21,3.79,0.0
20200406:0209,0.0,0.0,15.38,3.86,0.0
20200406:0309,0.0,0.0,14.78,3.93,0.0
20200406:0409,0.0,0.0,14.26,3.93,0.0
20200406:0509,0.0,0.0,13.56,4.0,0.0
20200406:0609,78.11,7.96,13.2,4.28,0.0
20200406:0709,325.33,20.6,15.56,4.76,0.0
20200406:0809,612.62,33.04,18.79,5.52,0.0
20200406:0909,809.96,44.88,21.71,5.93,0.0
20200406:1009,955.82,55.3,24.09,6.21,0.0
20200406:1109,1105.42,62.46,25.81,6.34,0.0
20200406:1209,1060.1,63.5,26.87,6.0,0.0
20200406:1309,1007.6,57.82,27.64,5.72,0.0
20200406:1409,884.72,48.09,28.13,5.45,0.0
20200406:1509,627.02,36.54,28.34,5.1,0.0
20200406:1609,348.07,24.22,28.23,4.76,0.0
20200406:1709,147.53,11.6,27.81,4.21,0.0
20200406:1809,0.0,0.0,27.06,3.03,0.0
20200406:1909,0.0,0.0,26.12,2.34,0.0
20200406:2009,0.0,0.0,24.9,3.79,0.0
20200406:2109,0.0,0.0,23.45,5.52,0.0
20200406:2209,0.0,0.0,21.9,5.93,0.0
20200406:2309,0.0,0.0,20.97,5.38,0.0
20200407:0009,0.0,0.0,20.08,4.62,0.0
20200407:0109,0.0,0.0,19.19,4.07,0.0
20200407:0209,0.0,0.0,18.24,4.0,0.0
20200407:0309,0.0,0.0,17.44,4.0,0.0
20200407:0409,0.0,0.0,16.64,3.79,0.0
20200407:0509,0.0,0.0,16.09,3.38,0.0
20200407:0609,79.79,8.22,15.56,3.03,0.0
20200407:0709,316.82,20.86,16.92,3.31,0.0
20200407:0809,571.81,33.32,18.96,4.9,0.0
20200407:0909,803.36,45.19,20.7,5.1,0.0
20200407:1009,923.43,55.64,22.32,4.9,0.0
20200407:1109,470.85,62.84,23.71,4.62,0.0
20200407:1209,232.71,63.86,24.84,4.41,0.0
20200407:1309,904.37,58.09,25.54,4.0,0.0
20200407:1409,891.86,48.29,25.97,3.45,0.0
20200407:1509,377.69,36.7,26.12,3.1,0.0
20200407:1609,381.12,24.36,26.19,3.31,0.0
20200407:1709,137.45,11.74,25.91,4.07,0.0
20200407:1809,0.0,0.0,25.01,4.97,0.0
20200407:1909,0.0,0.0,23.36,5.45,0.0
20200407:2009,0.0,0.0,22.11,5.79,0.0
20200407:2109,0.0,0.0,20.94,5.66,0.0
20200407:2209,0.0,0.0,19.91,5.24,0.0
20200407:2309,0.0,0.0,18.91,4.69,0.0
20200408:0009,0.0,0.0,18.0,4.14,0.0
20200408:0109,0.0,0.0,17.29,3.66,0.0
20200408:0209,0.0,0.0,16.65,3.38,0.0
20200408:0309,0.0,0.0,15.53,3.38,0.0
20200408:0409,0.0,0.0,14.68,3.59,0.0
20200408:0509,0.0,0.0,13.83,3.66,0.0
20200408:0609,84.84,8.48,13.14,3.45,0.0
20200408:0709,330.93,21.12,15.08,3.93,0.0
20200408:0809,577.7,33.59,17.46,4.76,0.0
20200408:0909,814.82,45.48,19.63,5.17,0.0
20200408:1009,972.01,55.98,21.61,5.03,0.0
20200408:1109,1077.61,63.22,23.25,4.69,0.0
20200408:1209,1088.34,64.22,24.65,4.28,0.0
20200408:1309,1049.86,58.36,25.6,3.72,0.0
20200408:1409,869.28,48.49,26.04,3.03,0.0
20200408:1509,651.34,36.86,26.15,2.55,0.0
20200408:1609,395.65,24.5,26.12,2.28,0.0
20200408:1709,112.66,11.87,25.91,2.21,0.0
20200408:1809,0.0,0.0,25.38,2.48,0.0
20200408:1909,0.0,0.0,24.09,3.93,0.0
20200408:2009,0.0,0.0,22.92,4.97,0.0
20200408:2109,0.0,0.0,21.67,5.45,0.0
20200408:2209,0.0,0.0,20.64,5.52,0.0
20200408:2309,0.0,0.0,19.87,5.24,0.0
20200409:0009,0.0,0.0,19.33,4.97,0.0
20200409:0109,0.0,0.0,18.94,4.48,0.0
20200409:0209,0.0,0.0,18.47,3.86,0.0
20200409:0309,0.0,0.0,17.94,3.24,0.0
20200409:0409,0.0,0.0,17.25,3.1,0.0
20200409:0509,0.0,0.0,16.63,3.1,0.0
20200409:0609,48.59,8.74,16.18,3.31,0.0
20200409:0709,181.06,21.38,17.0,3.45,0.0
20200409:0809,153.25,33.86,18.05,4.0,0.0
20200409:0909,367.6,45.78,19.46,4.55,0.0
20200409:1009,97.44,56.32,21.05,5.03,0.0
20200409:1109,90.81,63.6,22.69,5.31,0.0
20200409:1209,122.98,64.57,23.48,5.24,0.0
20200409:1309,216.63,58.62,24.9,5.1,0.0
20200409:1409,344.77,48.69,25.69,4.69,0.0
20200409:1509,261.2,37.02,25.65,3.93,0.0
20200409:1609,162.69,24.64,24.96,3.38,0.0
20200409:1709,95.28,12.01,23.69,2.28,0.0
20200409:1809,0.0,0.0,23.11,3.31,0.0
20200409:1909,0.0,0.0,22.46,2.76,0.0
20200409:2009,0.0,0.0,21.62,3.93,0.0
20200409:2109,0.0,0.0,20.13,5.03,0.0
20200409:2209,0.0,0.0,18.83,5.24,0.0
20200409:2309,0.0,0.0,18.23,4.62,0.0
20200410:0009,0.0,0.0,17.72,4.21,0.0
20200410:0109,0.0,0.0,17.35,3.79,0.0
20200410:0209,0.0,0.0,16.75,2.69,0.0
20200410:0309,0.0,0.0,16.27,1.86,0.0
20200410:0409,0.0,0.0,15.55,2.41,0.0
20200410:0509,0.0,0.0,14.89,2.97,0.0
20200410:0609,89.28,9.0,14.55,3.45,0.0
20200410:0709,185.68,21.64,16.38,3.79,0.0
20200410:0809,258.2,34.13,17.65,4.83,0.0
20200410:0909,260.98,46.07,18.99,5.17,0.0
20200410:1009,908.86,56.65,20.48,4.9,0.0
20200410:1109,384.01,63.98,21.66,3.66,0.0
20200410:1209,232.71,64.92,21.67,2.28,0.0
20200410:1309,158.92,58.89,21.95,1.72,0.0
20200410:1409,65.27,48.88,21.86,1.17,0.0
20200410:1509,211.49,37.17,22.25,0.0,0.0
20200410:1609,392.34,24.77,22.46,0.48,0.0
20200410:1709,138.58,12.14,22.63,1.17,0.0
20200410:1809,0.0,0.0,22.32,1.59,0.0
20200410:1909,0.0,0.0,21.02,3.17,0.0
20200410:2009,0.0,0.0,19.86,4.21,0.0
20200410:2109,0.0,0.0,18.2,5.03,0.0
20200410:2209,0.0,0.0,16.53,5.03,0.0
20200410:2309,0.0,0.0,15.26,4.41,0.0
20200411:0009,0.0,0.0,14.36,3.93,0.0
20200411:0109,0.0,0.0,13.53,3.86,0.0
20200411:0209,0.0,0.0,12.73,4.07,0.0
20200411:0309,0.0,0.0,12.08,4.34,0.0
20200411:0409,0.0,0.0,11.42,4.48,0.0
20200411:0509,0.0,0.0,10.86,4.28,0.0
20200411:0609,90.39,9.25,10.67,3.93,0.0
20200411:0709,331.25,21.89,12.59,4.55,0.0
20200411:0809,564.46,34.39,15.16,5.17,0.0
20200411:0909,734.82,46.36,17.4,5.66,0.0
20200411:1009,932.97,56.98,19.32,6.07,0.0
20200411:1109,1064.41,64.35,20.92,6.21,0.0
20200411:1209,1068.03,65.27,22.29,6.0,0.0
20200411:1309,1017.91,59.15,23.29,5.72,0.0
20200411:1409,865.58,49.07,23.9,5.45,0.0
20200411:1509,639.54,37.33,24.13,5.59,0.0
20200411:1609,392.71,24.91,24.0,6.07,0.0
20200411:1709,122.51,12.28,23.39,6.69,0.0
20200411:1809,0.0,0.0,22.32,6.55,0.0
20200411:1909,0.0,0.0,21.1,6.48,0.0
20200411:2009,0.0,0.0,20.23,6.62,0.0
20200411:2109,0.0,0.0,19.3,6.55,0.0
20200411:2209,0.0,0.0,18.42,6.14,0.0
20200411:2309,0.0,0.0,17.64,5.52,0.0
20200412:0009,0.0,0.0,16.9,5.1,0.0
20200412:0109,0.0,0.0,16.26,4.83,0.0
20200412:0209,0.0,0.0,15.6,4.83,0.0
20200412:0309,0.0,0.0,15.0,5.03,0.0
20200412:0409,0.0,0.0,14.26,5.17,0.0
20200412:0509,0.0,0.0,13.49,5.03,0.0
20200412:0609,89.82,9.5,13.14,5.1,0.0
20200412:0709,308.96,22.14,14.8,5.86,0.0
20200412:0809,574.9,34.65,16.9,6.83,0.0
20200412:0909,801.27,46.64,19.05,7.45,0.0
20200412:1009,975.41,57.31,21.02,8.0,0.0
20200412:1109,1067.56,64.72,22.69,8.21,0.0
20200412:1209,1070.11,65.61,23.96,8.28,0.0
20200412:1309,996.84,59.41,24.9,8.48,0.0
20200412:1409,876.49,49.26,25.53,8.69,0.0
20200412:1509,664.55,37.48,25.73,8.76,0.0
20200412:1609,398.02,25.05,25.6,8.69,0.0
