time,G(i),H_sun,T2m,WS10m,Int
20200105:2109,0.0,0.0,7.96,1.79,0.0
20200105:2209,0.0,0.0,7.57,1.17,0.0
20200105:2309,0.0,0.0,8.06,0.62,0.0
20200106:0009,0.0,0.0,7.68,0.9,0.0
20200106:0109,0.0,0.0,5.61,1.59,0.0
20200106:0209,0.0,0.0,3.67,2.62,0.0
20200106:0309,0.0,0.0,3.09,3.1,0.0
20200106:0409,0.0,0.0,2.56,3.24,0.0
20200106:0509,0.0,0.0,2.21,3.45,0.0
20200106:0609,0.0,0.0,1.93,3.59,0.0
20200106:0709,18.1,3.24,1.48,3.45,0.0
20200106:0809,446.17,13.74,2.44,3.03,0.0
20200106:0909,698.83,22.85,5.84,2.69,0.0
20200106:1009,869.06,29.91,8.9,3.24,0.0
20200106:1109,946.72,34.13,10.54,3.59,0.0
20200106:1209,977.02,34.83,11.62,3.45,0.0
20200106:1309,878.57,31.89,12.33,3.45,0.0
20200106:1409,733.4,25.81,12.67,3.45,0.0
20200106:1509,528.04,17.39,12.67,3.45,0.0
20200106:1609,259.8,7.35,12.29,3.45,0.0
20200106:1709,0.0,0.0,11.21,2.9,0.0
20200106:1809,0.0,0.0,10.04,2.76,0.0
20200106:1909,0.0,0.0,9.45,2.34,0.0
20200106:2009,0.0,0.0,8.37,1.93,0.0
20200106:2109,0.0,0.0,7.52,1.38,0.0
20200106:2209,0.0,0.0,8.33,0.83,0.0
20200106:2309,0.0,0.0,8.01,0.48,0.0
20200107:0009,0.0,0.0,7.63,1.03,0.0
20200107:0109,0.0,0.0,5.44,1.72,0.0
20200107:0209,0.0,0.0,3.65,2.34,0.0
20200107:0309,0.0,0.0,2.78,2.83,0.0
20200107:0409,0.0,0.0,2.22,2.97,0.0
20200107:0509,0.0,0.0,1.66,3.03,0.0
20200107:0609,0.0,0.0,1.09,3.1,0.0
20200107:0709,15.39,3.24,0.46,3.03,0.0
20200107:0809,452.84,13.76,1.44,2.48,0.0
20200107:0909,693.69,22.9,5.51,1.79,0.0
20200107:1009,863.67,29.99,10.05,1.52,0.0
20200107:1109,955.31,34.23,11.65,1.24,0.0
20200107:1209,993.47,34.96,12.64,1.45,0.0
20200107:1309,895.59,32.03,13.34,1.66,0.0
20200107:1409,742.31,25.96,13.72,1.72,0.0
20200107:1509,542.49,17.54,13.78,1.79,0.0
20200107:1609,280.08,7.5,13.52,1.79,0.0
20200107:1709,0.0,0.0,12.65,1.93,0.0
20200107:1809,0.0,0.0,11.45,2.21,0.0
20200107:1909,0.0,0.0,10.28,2.28,0.0
20200107:2009,0.0,0.0,9.21,2.21,0.0
20200107:2109,0.0,0.0,8.09,2.21,0.0
20200107:2209,0.0,0.0,6.96,2.21,0.0
20200107:2309,0.0,0.0,5.97,2.34,0.0
20200108:0009,0.0,0.0,5.17,2.76,0.0
20200108:0109,0.0,0.0,4.27,3.03,0.0
20200108:0209,0.0,0.0,3.26,3.17,0.0
20200108:0309,0.0,0.0,2.34,3.24,0.0
20200108:0409,0.0,0.0,1.75,3.38,0.0
20200108:0509,0.0,0.0,1.52,3.52,0.0
20200108:0609,0.0,0.0,1.21,3.45,0.0
20200108:0709,16.29,3.25,0.56,3.38,0.0
20200108:0809,462.32,13.78,1.96,3.03,0.0
20200108:0909,694.09,22.94,6.15,2.69,0.0
20200108:1009,870.81,30.06,10.39,2.0,0.0
20200108:1109,941.1,34.34,12.62,0.9,0.0
20200108:1209,981.09,35.09,13.63,0.62,0.0
20200108:1309,875.28,32.19,14.49,1.17,0.0
20200108:1409,739.5,26.13,15.08,1.59,0.0
20200108:1509,540.52,17.7,15.35,2.07,0.0
20200108:1609,277.61,7.66,15.16,2.0,0.0
20200108:1709,0.0,0.0,14.17,1.72,0.0
20200108:1809,0.0,0.0,12.62,2.34,0.0
20200108:1909,0.0,0.0,11.47,2.55,0.0
20200108:2009,0.0,0.0,10.06,2.62,0.0
20200108:2109,0.0,0.0,8.78,2.62,0.0
20200108:2209,0.0,0.0,7.6,2.62,0.0
20200108:2309,0.0,0.0,6.47,2.55,0.0
20200109:0009,0.0,0.0,5.46,2.55,0.0
20200109:0109,0.0,0.0,4.78,2.83,0.0
20200109:0209,0.0,0.0,4.39,3.31,0.0
20200109:0309,0.0,0.0,4.06,3.66,0.0
20200109:0409,0.0,0.0,3.79,4.0,0.0
20200109:0509,0.0,0.0,3.61,4.21,0.0
20200109:0609,0.0,0.0,3.4,4.28,0.0
20200109:0709,15.39,3.25,3.3,4.21,0.0
20200109:0809,458.25,13.81,4.32,4.0,0.0
20200109:0909,707.7,23.0,6.95,4.21,0.0
20200109:1009,888.39,30.15,9.32,5.03,0.0
20200109:1109,962.76,34.46,10.89,5.24,0.0
20200109:1209,980.26,35.24,11.94,4.69,0.0
20200109:1309,869.13,32.35,12.67,4.14,0.0
20200109:1409,752.62,26.29,13.07,3.86,0.0
20200109:1509,415.52,17.87,13.2,3.86,0.0
20200109:1609,266.94,7.82,12.96,3.86,0.0
20200109:1709,0.0,0.0,12.04,3.38,0.0
20200109:1809,0.0,0.0,10.93,3.17,0.0
20200109:1909,0.0,0.0,10.39,3.38,0.0
20200109:2009,0.0,0.0,9.49,3.17,0.0
20200109:2109,0.0,0.0,8.53,2.83,0.0
20200109:2209,0.0,0.0,7.48,2.55,0.0
20200109:2309,0.0,0.0,6.4,2.48,0.0
20200110:0009,0.0,0.0,5.41,2.62,0.0
20200110:0109,0.0,0.0,4.8,2.76,0.0
20200110:0209,0.0,0.0,4.14,3.03,0.0
20200110:0309,0.0,0.0,3.65,3.24,0.0
20200110:0409,0.0,0.0,3.42,3.38,0.0
20200110:0509,0.0,0.0,3.26,3.59,0.0
20200110:0609,0.0,0.0,3.1,3.66,0.0
20200110:0709,15.39,3.27,3.5,4.21,0.0
20200110:0809,450.44,13.85,4.56,4.0,0.0
20200110:0909,652.9,23.06,7.08,4.28,0.0
20200110:1009,877.84,30.24,9.35,4.62,0.0
20200110:1109,951.95,34.58,10.87,4.69,0.0
20200110:1209,969.63,35.39,12.0,4.69,0.0
20200110:1309,602.83,32.52,12.87,5.03,0.0
20200110:1409,738.88,26.46,13.43,4.9,0.0
20200110:1509,454.6,18.04,13.47,4.83,0.0
20200110:1609,282.68,7.98,13.13,4.9,0.0
20200110:1709,0.0,0.0,12.45,4.48,0.0
20200110:1809,0.0,0.0,11.68,3.93,0.0
20200110:1909,0.0,0.0,11.2,3.45,0.0
20200110:2009,0.0,0.0,10.58,2.9,0.0
20200110:2109,0.0,0.0,9.46,2.69,0.0
20200110:2209,0.0,0.0,8.59,2.48,0.0
