time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130103:2300,9.64,58.9,0.0,0.0,0.0,267.2,6.07,26.0,99738.0
20130104:0000,8.89,63.85,0.0,0.0,0.0,265.6,6.07,24.0,99787.0
20130104:0100,8.08,69.25,0.0,0.0,0.0,263.8,5.86,21.0,99777.0
20130104:0200,7.27,74.35,0.0,0.0,0.0,261.2,5.79,18.0,99806.0
20130104:0300,6.52,78.8,0.0,0.0,0.0,259.4,5.86,18.0,99826.0
20130104:0400,5.86,82.55,0.0,0.0,0.0,257.8,5.79,19.0,99845.0
20130104:0500,5.28,85.9,0.0,0.0,0.0,256.4,5.79,21.0,99864.0
20130104:0600,4.82,88.55,0.0,0.0,0.0,255.8,5.72,22.0,99922.0
20130104:0700,4.57,89.15,25.0,337.06,11.0,255.4,5.93,20.0,99971.0
20130104:0800,5.07,86.95,232.0,776.41,48.0,254.8,5.86,20.0,100019.0
20130104:0900,7.05,75.8,434.0,918.37,63.0,256.8,6.34,19.0,100126.0
20130104:1000,9.19,63.9,587.0,947.05,84.0,262.0,7.38,20.0,100039.0
20130104:1100,11.15,53.7,688.0,985.64,87.0,270.4,8.21,21.0,100019.0
20130104:1200,12.81,47.3,719.0,996.01,87.0,276.0,8.76,24.0,99903.0
20130104:1300,14.09,45.65,672.0,945.76,101.0,278.8,8.62,30.0,99855.0
20130104:1400,15.03,44.65,561.0,887.38,100.0,282.2,8.41,33.0,99796.0
20130104:1500,15.51,43.45,405.0,851.51,75.0,284.8,8.48,34.0,99748.0
20130104:1600,15.6,42.5,206.0,737.77,46.0,287.2,8.48,34.0,99738.0
20130104:1700,15.09,42.65,0.0,0.0,0.0,283.4,7.17,30.0,99738.0
20130104:1800,14.07,44.75,0.0,0.0,0.0,281.0,6.34,28.0,99826.0
20130104:1900,13.44,47.0,0.0,0.0,0.0,280.6,5.24,32.0,99893.0
20130104:2000,12.66,49.4,0.0,0.0,0.0,279.6,5.24,37.0,99942.0
20130104:2100,11.94,52.9,0.0,0.0,0.0,278.0,5.86,42.0,99961.0
