time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080219:0000,14.98,23.85,0.0,0.0,0.0,291.6,4.76,77.0,99380.0
20080219:0100,13.93,25.75,0.0,0.0,0.0,284.0,4.55,77.0,99341.0
20080219:0200,12.91,28.0,0.0,0.0,0.0,281.8,4.41,73.0,99331.0
20080219:0300,11.93,30.35,0.0,0.0,0.0,279.0,4.34,67.0,99302.0
20080219:0400,11.03,32.65,0.0,0.0,0.0,276.4,4.34,62.0,99283.0
20080219:0500,10.24,34.85,0.0,0.0,0.0,275.0,4.41,58.0,99273.0
20080219:0600,9.53,36.85,0.0,0.0,0.0,273.4,4.41,57.0,99273.0
20080219:0700,9.3,39.85,73.0,318.68,38.0,275.8,4.48,70.0,99302.0
20080219:0800,10.53,36.75,305.0,678.72,87.0,277.2,4.0,69.0,99350.0
20080219:0900,13.03,31.05,445.0,461.9,212.0,281.0,4.41,65.0,99428.0
20080219:1000,15.4,26.15,721.0,982.9,85.0,286.2,4.14,61.0,99457.0
20080219:1100,17.7,21.6,829.0,972.46,110.0,292.4,3.79,57.0,99428.0
20080219:1200,19.78,17.4,861.0,934.14,137.0,298.4,3.52,55.0,99380.0
20080219:1300,21.4,13.75,844.0,977.82,109.0,303.8,3.31,51.0,99263.0
20080219:1400,22.55,11.2,732.0,907.82,123.0,306.4,3.24,49.0,99147.0
20080219:1500,23.31,9.8,580.0,918.12,86.0,307.4,3.17,44.0,99069.0
20080219:1600,23.61,9.25,343.0,651.27,107.0,307.6,3.38,19.0,99089.0
20080219:1700,23.27,9.75,77.0,83.46,64.0,311.8,5.1,349.0,99108.0
20080219:1800,21.78,11.95,0.0,0.0,0.0,319.4,5.79,344.0,99157.0
20080219:1900,20.04,15.7,0.0,0.0,0.0,324.4,6.48,357.0,99195.0
20080219:2000,19.32,17.15,0.0,0.0,0.0,333.4,4.62,36.0,99137.0
20080219:2100,18.86,16.9,0.0,0.0,0.0,327.8,4.41,60.0,99137.0
20080219:2200,18.54,16.1,0.0,0.0,0.0,330.0,4.28,63.0,99157.0
20080219:2300,17.77,15.8,0.0,0.0,0.0,313.2,3.66,53.0,99166.0
20080220:0000,16.57,16.3,0.0,0.0,0.0,299.6,3.1,41.0,99137.0
20080220:0100,15.23,17.35,0.0,0.0,0.0,296.0,2.76,44.0,99166.0
20080220:0200,13.94,18.5,0.0,0.0,0.0,294.0,2.62,62.0,99098.0
20080220:0300,12.82,19.65,0.0,0.0,0.0,292.8,2.55,82.0,99089.0
20080220:0400,11.8,21.05,0.0,0.0,0.0,291.4,2.48,98.0,99079.0
20080220:0500,11.13,22.45,0.0,0.0,0.0,290.0,2.0,105.0,99069.0
20080220:0600,10.75,23.2,0.0,0.0,0.0,287.8,1.86,105.0,99108.0
20080220:0700,9.01,26.35,76.0,317.95,40.0,289.0,2.62,87.0,99166.0
20080220:0800,10.17,25.2,312.0,708.08,82.0,286.0,1.86,91.0,99224.0
20080220:0900,14.75,17.9,529.0,822.44,111.0,294.0,1.45,107.0,99302.0
20080220:1000,18.0,14.15,707.0,898.63,122.0,300.8,1.1,135.0,99350.0
20080220:1100,20.23,12.25,829.0,956.5,118.0,315.6,0.83,189.0,99302.0
20080220:1200,22.05,11.15,866.0,935.84,137.0,322.8,0.9,229.0,99263.0
20080220:1300,23.36,10.4,840.0,943.74,127.0,317.2,1.03,260.0,99137.0
20080220:1400,24.36,9.65,737.0,908.82,124.0,322.4,1.1,283.0,99069.0
20080220:1500,24.96,9.15,575.0,871.66,103.0,320.0,1.24,306.0,98992.0
20080220:1600,25.19,8.9,350.0,678.44,102.0,317.8,1.52,324.0,98972.0
20080220:1700,25.05,8.95,98.0,201.7,66.0,317.2,1.72,333.0,98963.0
20080220:1800,24.29,9.45,0.0,0.0,0.0,312.8,1.79,338.0,98953.0
20080220:1900,23.49,10.25,0.0,0.0,0.0,310.6,1.86,344.0,99011.0
20080220:2000,22.01,11.55,0.0,0.0,0.0,309.0,2.07,4.0,99069.0
20080220:2100,20.4,12.9,0.0,0.0,0.0,310.0,2.34,25.0,99089.0
20080220:2200,19.07,13.9,0.0,0.0,0.0,315.8,2.76,36.0,99089.0
20080220:2300,17.78,14.95,0.0,0.0,0.0,315.0,2.9,37.0,99098.0
20080221:0000,16.49,16.1,0.0,0.0,0.0,308.2,2.9,38.0,99137.0
20080221:0100,15.41,17.2,0.0,0.0,0.0,310.2,2.9,45.0,99089.0
20080221:0200,14.59,18.1,0.0,0.0,0.0,316.8,3.03,56.0,99050.0
20080221:0300,14.0,18.9,0.0,0.0,0.0,323.2,2.9,62.0,98992.0
20080221:0400,13.33,20.2,0.0,0.0,0.0,315.2,2.97,70.0,98992.0
20080221:0500,12.3,22.4,0.0,0.0,0.0,296.0,3.03,74.0,98943.0
20080221:0600,11.37,24.75,0.0,0.0,0.0,295.8,2.83,69.0,99011.0
20080221:0700,11.11,26.75,86.0,437.08,35.0,294.8,2.9,84.0,99050.0
20080221:0800,12.61,24.55,313.0,684.93,88.0,299.2,2.41,87.0,99127.0
20080221:0900,16.99,18.15,539.0,855.32,101.0,301.6,2.55,98.0,99186.0
20080221:1000,20.8,13.85,712.0,899.32,123.0,307.4,2.34,114.0,99234.0
20080221:1100,23.76,11.25,838.0,975.49,109.0,322.2,2.14,139.0,99205.0
20080221:1200,25.65,10.05,880.0,972.0,119.0,327.8,1.93,157.0,99157.0
20080221:1300,26.75,9.35,854.0,979.81,110.0,334.6,1.31,165.0,99069.0
20080221:1400,27.3,9.6,729.0,861.17,145.0,337.8,0.83,202.0,98972.0
20080221:1500,27.61,10.2,546.0,710.21,159.0,338.2,0.83,250.0,98914.0
20080221:1600,27.69,10.7,328.0,526.17,134.0,333.6,0.97,297.0,98875.0
20080221:1700,27.55,11.0,93.0,148.59,69.0,331.2,1.59,327.0,98885.0
20080221:1800,26.69,11.6,0.0,0.0,0.0,331.8,2.41,340.0,98924.0
20080221:1900,26.09,14.15,0.0,0.0,0.0,324.0,0.62,339.0,98934.0
20080221:2000,24.61,14.75,0.0,0.0,0.0,321.0,1.03,17.0,99031.0
20080221:2100,22.48,16.8,0.0,0.0,0.0,320.8,1.66,23.0,99031.0
20080221:2200,20.54,18.5,0.0,0.0,0.0,316.6,2.34,32.0,99069.0
20080221:2300,19.18,19.75,0.0,0.0,0.0,314.2,2.83,40.0,99069.0
20080222:0000,17.82,21.45,0.0,0.0,0.0,312.2,2.97,49.0,99098.0
20080222:0100,16.59,23.3,0.0,0.0,0.0,310.2,2.97,58.0,99060.0
20080222:0200,15.54,25.2,0.0,0.0,0.0,308.0,3.1,70.0,99001.0
20080222:0300,14.42,27.4,0.0,0.0,0.0,304.8,3.17,83.0,98982.0
20080222:0400,13.43,29.45,0.0,0.0,0.0,301.8,2.9,88.0,99001.0
20080222:0500,12.72,30.8,0.0,0.0,0.0,298.2,3.1,93.0,99001.0
20080222:0600,12.38,31.25,0.0,0.0,0.0,296.4,3.79,105.0,99021.0
20080222:0700,12.9,30.25,75.0,241.25,46.0,296.6,4.14,125.0,99060.0
20080222:0800,14.61,26.3,300.0,568.87,111.0,295.8,3.52,131.0,99147.0
20080222:0900,18.41,19.3,538.0,825.61,112.0,299.8,3.17,141.0,99273.0
20080222:1000,21.7,14.6,697.0,821.04,156.0,307.0,2.76,154.0,99244.0
20080222:1100,24.17,12.1,852.0,1012.89,91.0,314.8,2.34,176.0,99224.0
20080222:1200,25.95,11.05,866.0,903.59,155.0,323.4,2.07,194.0,99176.0
20080222:1300,26.96,10.85,757.0,635.53,272.0,335.2,1.24,215.0,99108.0
20080222:1400,27.62,10.7,575.0,362.29,328.0,339.0,1.38,300.0,99050.0
20080222:1500,28.05,10.8,537.0,656.57,177.0,343.8,2.9,335.0,98992.0
20080222:1600,27.99,11.85,353.0,658.91,108.0,347.4,3.93,356.0,98972.0
20080222:1700,27.55,13.45,91.0,127.77,70.0,354.0,4.76,8.0,98953.0
20080222:1800,26.61,15.55,0.0,0.0,0.0,354.8,4.83,10.0,99011.0
20080222:1900,25.26,18.25,0.0,0.0,0.0,338.6,6.0,10.0,99021.0
20080222:2000,24.22,20.7,0.0,0.0,0.0,334.6,6.48,15.0,99108.0
20080222:2100,23.34,23.0,0.0,0.0,0.0,333.4,6.55,18.0,99127.0
20080222:2200,22.74,25.15,0.0,0.0,0.0,342.6,6.41,20.0,99176.0
20080222:2300,22.14,26.7,0.0,0.0,0.0,344.6,6.34,22.0,99195.0
20080223:0000,21.53,27.3,0.0,0.0,0.0,343.6,6.62,24.0,99186.0
20080223:0100,21.05,26.5,0.0,0.0,0.0,346.05,7.31,22.0,99166.0
20080223:0200,20.71,25.35,0.0,0.0,0.0,358.8,7.79,19.0,99118.0
20080223:0300,20.02,24.55,0.0,0.0,0.0,352.4,7.38,22.0,99060.0
20080223:0400,18.83,23.0,0.0,0.0,0.0,323.0,6.62,33.0,99021.0
20080223:0500,17.93,20.75,0.0,0.0,0.0,320.4,5.86,48.0,98992.0
20080223:0600,17.19,19.75,0.0,0.0,0.0,318.4,5.31,60.0,99031.0
20080223:0700,16.97,20.1,93.0,452.38,37.0,323.4,4.41,78.0,99079.0
20080223:0800,17.66,18.25,243.0,252.96,158.0,325.0,4.28,84.0,99137.0
20080223:0900,19.55,14.65,247.0,28.85,232.0,325.2,5.38,87.0,99157.0
20080223:1000,21.69,11.9,491.0,218.73,346.0,329.0,5.86,91.0,99205.0
20080223:1100,23.64,10.8,652.0,385.27,361.0,339.0,5.93,91.0,99157.0
20080223:1200,25.19,10.9,573.0,189.68,423.0,346.6,6.07,91.0,99060.0
20080223:1300,26.2,11.45,448.0,70.41,394.0,346.4,6.21,88.0,98953.0
20080223:1400,26.86,11.95,377.0,55.44,339.0,355.8,6.34,86.0,98875.0
20080223:1500,26.98,12.35,458.0,364.35,257.0,360.6,6.41,85.0,98778.0
20080223:1600,26.86,12.5,198.0,64.01,174.0,356.2,6.34,86.0,98788.0
20080223:1700,26.42,12.8,80.0,65.8,69.0,356.4,5.72,86.0,98798.0
20080223:1800,25.32,13.6,0.0,0.0,0.0,351.6,4.48,85.0,98827.0
20080223:1900,24.23,14.45,0.0,0.0,0.0,352.4,3.93,91.0,98875.0
20080223:2000,23.32,15.2,0.0,0.0,0.0,355.6,4.34,93.0,98904.0
20080223:2100,22.54,15.85,0.0,0.0,0.0,352.0,4.9,94.0,98914.0
20080223:2200,21.77,16.6,0.0,0.0,0.0,342.8,5.59,92.0,98914.0
20080223:2300,21.11,17.5,0.0,0.0,0.0,343.0,5.86,89.0,98943.0
20080224:0000,20.5,17.85,0.0,0.0,0.0,339.6,5.79,89.0,98924.0
20080224:0100,19.9,18.1,0.0,0.0,0.0,340.05,5.93,85.0,98846.0
20080224:0200,19.46,18.4,0.0,0.0,0.0,349.0,6.62,81.0,98808.0
20080224:0300,18.41,20.5,0.0,0.0,0.0,325.2,6.62,86.0,98711.0
20080224:0400,17.85,21.05,0.0,0.0,0.0,321.2,6.07,92.0,98711.0
20080224:0500,17.77,20.45,0.0,0.0,0.0,341.6,5.72,91.0,98681.0
20080224:0600,17.37,20.25,0.0,0.0,0.0,331.4,5.52,86.0,98701.0
20080224:0700,16.75,22.15,81.0,251.11,49.0,317.8,5.52,83.0,98730.0
20080224:0800,17.82,20.05,239.0,229.51,161.0,322.0,5.1,78.0,98788.0
20080224:0900,19.63,17.55,476.0,511.58,208.0,309.0,6.0,77.0,98846.0
20080224:1000,21.48,15.65,561.0,359.85,321.0,327.8,6.41,82.0,98885.0
20080224:1100,23.33,13.85,739.0,593.94,288.0,327.8,5.86,81.0,98846.0
20080224:1200,24.88,12.45,832.0,760.01,228.0,332.0,5.17,80.0,98778.0
20080224:1300,26.1,11.35,779.0,678.58,256.0,326.4,4.34,79.0,98681.0
20080224:1400,26.92,10.65,734.0,831.68,161.0,330.6,3.59,75.0,98594.0
20080224:1500,27.4,10.35,585.0,846.83,115.0,328.2,3.17,70.0,98507.0
20080224:1600,27.63,10.2,350.0,600.54,123.0,323.2,2.97,68.0,98488.0
20080224:1700,27.53,10.35,101.0,164.73,73.0,325.8,2.76,67.0,98478.0
20080224:1800,26.6,11.05,0.0,0.0,0.0,316.2,2.14,52.0,98478.0
20080224:1900,24.56,12.9,0.0,0.0,0.0,314.2,3.31,29.0,98507.0
20080224:2000,23.05,14.35,0.0,0.0,0.0,310.6,3.79,28.0,98555.0
20080224:2100,21.66,15.8,0.0,0.0,0.0,308.4,4.28,33.0,98594.0
20080224:2200,20.4,17.05,0.0,0.0,0.0,304.6,4.48,41.0,98594.0
20080224:2300,19.22,18.15,0.0,0.0,0.0,301.6,4.48,51.0,98623.0
20080225:0000,18.04,19.35,0.0,0.0,0.0,298.4,4.48,61.0,98614.0
20080225:0100,17.02,20.45,0.0,0.0,0.0,296.0,4.69,69.0,98594.0
20080225:0200,16.29,21.05,0.0,0.0,0.0,293.6,5.17,75.0,98555.0
20080225:0300,15.87,21.25,0.0,0.0,0.0,290.6,5.66,81.0,98517.0
20080225:0400,15.48,21.7,0.0,0.0,0.0,288.4,5.79,85.0,98526.0
20080225:0500,14.88,22.75,0.0,0.0,0.0,285.4,5.79,86.0,98507.0
20080225:0600,14.22,24.15,0.0,0.0,0.0,282.6,5.72,87.0,98555.0
20080225:0700,14.23,24.95,89.0,305.04,49.0,282.4,6.28,87.0,98575.0
20080225:0800,15.69,22.9,323.0,648.77,100.0,282.4,6.0,90.0,98604.0
20080225:0900,18.7,19.0,543.0,786.19,128.0,286.4,6.28,96.0,98643.0
20080225:1000,22.06,15.25,723.0,873.34,137.0,293.0,6.0,106.0,98672.0
20080225:1100,24.9,12.45,853.0,962.86,118.0,300.8,5.66,118.0,98623.0
20080225:1200,26.94,10.4,913.0,1030.48,90.0,308.4,5.38,130.0,98555.0
20080225:1300,28.21,9.05,872.0,983.86,110.0,316.0,4.97,142.0,98429.0
20080225:1400,28.97,8.2,766.0,948.71,109.0,318.6,4.76,149.0,98323.0
20080225:1500,29.36,7.75,567.0,743.3,152.0,322.2,5.17,153.0,98274.0
20080225:1600,29.27,7.75,385.0,808.34,77.0,325.2,5.45,154.0,98216.0
20080225:1700,28.69,8.05,79.0,52.1,70.0,329.2,5.24,150.0,98216.0
20080225:1800,27.27,8.9,0.0,0.0,0.0,331.4,4.48,148.0,98187.0
20080225:1900,25.66,10.05,0.0,0.0,0.0,325.6,4.69,136.0,98226.0
20080225:2000,24.51,11.05,0.0,0.0,0.0,326.2,4.69,125.0,98274.0
20080225:2100,23.57,12.0,0.0,0.0,0.0,328.4,4.9,116.0,98265.0
20080225:2200,22.71,12.95,0.0,0.0,0.0,319.0,5.31,114.0,98265.0
20080225:2300,22.03,13.8,0.0,0.0,0.0,316.2,5.24,116.0,98245.0
20080226:0000,21.34,14.65,0.0,0.0,0.0,317.4,4.55,120.0,98226.0
20080226:0100,20.32,16.0,0.0,0.0,0.0,320.45,3.59,114.0,98168.0
20080226:0200,19.34,17.25,0.0,0.0,0.0,322.2,3.59,99.0,98109.0
20080226:0300,18.59,17.9,0.0,0.0,0.0,317.2,4.21,86.0,98061.0
20080226:0400,17.96,18.3,0.0,0.0,0.0,311.4,4.41,88.0,98022.0
20080226:0500,17.45,18.6,0.0,0.0,0.0,300.6,4.21,103.0,97983.0
20080226:0600,17.35,18.9,0.0,0.0,0.0,296.4,4.48,125.0,98003.0
20080226:0700,20.74,16.15,104.0,474.47,40.0,303.8,10.14,137.0,98012.0
20080226:0800,22.59,15.2,338.0,727.75,85.0,311.2,10.76,134.0,98051.0
20080226:0900,24.86,14.3,545.0,772.72,134.0,312.2,10.9,130.0,98119.0
20080226:1000,27.41,13.0,732.0,890.31,131.0,313.6,12.9,134.0,98119.0
20080226:1100,28.76,11.55,844.0,910.9,145.0,320.8,13.59,138.0,98032.0
20080226:1200,28.98,11.75,747.0,503.38,343.0,323.4,14.07,135.0,97983.0
20080226:1300,28.96,12.55,339.0,11.56,330.0,324.6,13.93,135.0,97916.0
20080226:1400,28.93,12.5,527.0,237.05,362.0,325.8,13.79,138.0,97867.0
20080226:1500,28.5,13.3,451.0,320.52,271.0,325.4,13.66,135.0,97838.0
20080226:1600,28.11,13.7,252.0,166.65,188.0,322.8,13.17,136.0,97848.0
20080226:1700,27.18,14.7,0.0,0.0,0.0,318.6,12.07,136.0,97877.0
20080226:1800,25.69,16.65,0.0,0.0,0.0,314.6,10.21,133.0,97886.0
20080226:1900,25.08,18.5,0.0,0.0,0.0,315.0,9.03,133.0,97945.0
20080226:2000,24.04,21.8,0.0,0.0,0.0,311.8,8.28,130.0,98022.0
20080226:2100,23.2,23.85,0.0,0.0,0.0,311.4,7.59,125.0,98051.0
20080226:2200,22.44,24.85,0.0,0.0,0.0,310.0,6.76,118.0,98032.0
20080226:2300,21.48,25.4,0.0,0.0,0.0,307.6,5.31,107.0,98071.0
20080227:0000,20.06,26.6,0.0,0.0,0.0,310.0,3.38,71.0,98080.0
20080227:0100,18.75,27.4,0.0,0.0,0.0,306.8,4.07,25.0,98100.0
20080227:0200,17.83,28.2,0.0,0.0,0.0,313.2,4.76,29.0,98051.0
20080227:0300,17.35,28.65,0.0,0.0,0.0,306.6,5.86,39.0,98022.0
20080227:0400,16.88,29.4,0.0,0.0,0.0,301.8,6.97,42.0,97983.0
20080227:0500,16.41,29.35,0.0,0.0,0.0,298.8,8.07,39.0,97954.0
20080227:0600,16.06,28.75,0.0,0.0,0.0,296.6,9.31,36.0,97993.0
20080227:0700,16.23,28.2,94.0,295.62,53.0,291.8,7.45,32.0,97993.0
20080227:0800,17.71,24.8,315.0,548.91,122.0,293.2,8.0,32.0,98071.0
20080227:0900,19.77,21.6,513.0,612.01,185.0,297.0,9.79,36.0,98119.0
20080227:1000,21.92,19.7,721.0,827.54,159.0,301.8,10.55,45.0,98158.0
20080227:1100,24.32,17.55,858.0,946.34,128.0,307.2,10.48,54.0,98090.0
20080227:1200,26.36,15.35,879.0,874.17,174.0,315.0,10.14,58.0,97993.0
20080227:1300,27.68,13.6,777.0,639.41,277.0,321.4,10.21,56.0,97916.0
20080227:1400,28.36,12.85,587.0,355.94,338.0,325.0,10.48,53.0,97819.0
20080227:1500,28.61,12.5,496.0,446.14,244.0,325.2,10.69,50.0,97799.0
20080227:1600,28.41,11.75,312.0,366.92,170.0,326.0,11.03,44.0,97819.0
20080227:1700,27.0,13.5,87.0,72.96,74.0,326.2,11.93,36.0,97906.0
20080227:1800,25.24,16.0,0.0,0.0,0.0,324.2,12.41,31.0,98051.0
20080227:1900,23.21,17.6,0.0,0.0,0.0,314.0,13.52,31.0,98148.0
20080227:2000,22.01,18.8,0.0,0.0,0.0,306.8,12.62,36.0,98294.0
20080227:2100,21.19,19.95,0.0,0.0,0.0,304.4,11.66,42.0,98400.0
20080227:2200,20.43,21.1,0.0,0.0,0.0,303.4,10.69,47.0,98429.0
20080227:2300,19.64,22.3,0.0,0.0,0.0,302.0,9.66,49.0,98478.0
20080228:0000,18.83,23.55,0.0,0.0,0.0,300.2,8.55,50.0,98478.0
20080228:0100,18.0,25.05,0.0,0.0,0.0,298.0,7.45,47.0,98526.0
20080228:0200,17.09,26.85,0.0,0.0,0.0,296.0,6.62,38.0,98526.0
20080228:0300,16.14,28.8,0.0,0.0,0.0,294.0,6.34,29.0,98546.0
20080228:0400,15.25,30.8,0.0,0.0,0.0,291.6,6.21,25.0,98565.0
20080228:0500,14.47,32.65,0.0,0.0,0.0,289.4,6.28,26.0,98623.0
20080228:0600,13.83,34.3,0.0,0.0,0.0,287.8,6.34,26.0,98672.0
20080228:0700,13.81,35.25,102.0,357.77,51.0,288.8,6.34,27.0,98720.0
20080228:0800,15.13,32.5,330.0,618.66,110.0,289.2,6.21,29.0,98808.0
20080228:0900,17.49,28.0,554.0,777.76,134.0,293.6,7.52,33.0,98856.0
20080228:1000,19.97,24.25,725.0,828.45,159.0,298.6,8.0,37.0,98914.0
20080228:1100,22.3,21.4,840.0,862.77,171.0,305.4,8.0,38.0,98895.0
20080228:1200,24.28,19.1,873.0,841.59,191.0,311.2,7.93,38.0,98827.0
20080228:1300,25.65,17.35,862.0,899.86,155.0,316.4,7.72,37.0,98788.0
20080228:1400,26.42,16.15,745.0,819.31,169.0,319.2,7.24,33.0,98701.0
20080228:1500,26.75,15.25,584.0,776.33,143.0,319.8,6.97,30.0,98681.0
20080228:1600,26.95,12.88,363.0,607.77,126.0,316.64,6.98,30.0,98662.0
20080228:1700,25.7,14.25,107.0,160.35,78.0,312.9,6.74,30.0,98672.0
20080228:1800,24.46,15.63,0.0,0.0,0.0,309.17,6.5,20.0,98711.0
20080228:1900,23.22,17.0,0.0,0.0,0.0,305.43,6.26,15.0,98759.0
20080228:2000,21.97,18.38,0.0,0.0,0.0,301.7,6.03,19.0,98875.0
20080228:2100,20.73,19.75,0.0,0.0,0.0,297.96,5.79,25.0,98924.0
20080228:2200,19.49,21.13,0.0,0.0,0.0,294.23,5.55,31.0,98992.0
20080228:2300,18.25,22.5,0.0,0.0,0.0,290.49,5.32,37.0,98972.0
20070301:0000,17.0,23.87,0.0,0.0,0.0,286.76,5.08,46.0,99108.0
20070301:0100,15.76,25.25,0.0,0.0,0.0,283.02,4.84,57.0,99098.0
20070301:0200,14.52,26.62,0.0,0.0,0.0,279.29,4.61,67.0,99060.0
20070301:0300,13.28,28.0,0.0,0.0,0.0,275.55,4.37,73.0,99031.0
20070301:0400,12.03,29.37,0.0,0.0,0.0,271.82,4.13,78.0,99021.0
20070301:0500,10.79,30.75,0.0,0.0,0.0,268.08,3.9,81.0,99001.0
20070301:0600,9.55,32.12,0.0,0.0,0.0,264.35,3.66,82.0,99040.0
20070301:0700,8.3,33.5,111.0,409.68,51.0,260.61,3.42,77.0,99089.0
20070301:0800,10.92,29.2,343.0,653.43,108.0,265.8,3.1,74.0,99157.0
20070301:0900,14.76,22.6,555.0,735.14,155.0,270.2,3.24,73.0,99234.0
20070301:1000,18.28,17.85,730.0,801.69,179.0,276.8,3.17,68.0,99254.0
20070301:1100,21.02,14.7,840.0,821.11,200.0,284.4,3.52,59.0,99205.0
20070301:1200,22.89,13.15,869.0,784.78,230.0,290.6,4.34,47.0,99118.0
20070301:1300,24.31,11.75,838.0,776.58,225.0,295.0,5.03,41.0,99011.0
20070301:1400,25.33,10.75,741.0,762.94,202.0,297.8,5.59,38.0,98904.0
20070301:1500,25.94,10.25,577.0,705.49,174.0,299.6,5.86,37.0,98837.0
20070301:1600,26.13,10.2,373.0,628.72,126.0,300.2,5.93,36.0,98808.0
20070301:1700,25.86,10.55,145.0,435.95,65.0,299.8,5.72,35.0,98817.0
20070301:1800,24.35,12.2,0.0,0.0,0.0,298.2,4.55,24.0,98856.0
20070301:1900,22.77,14.15,0.0,0.0,0.0,296.4,4.62,17.0,98885.0
20070301:2000,21.34,16.6,0.0,0.0,0.0,293.8,4.97,18.0,98934.0
20070301:2100,20.12,18.75,0.0,0.0,0.0,291.2,5.1,22.0,98972.0
20070301:2200,19.02,20.6,0.0,0.0,0.0,288.4,5.17,27.0,99001.0
20070301:2300,17.99,22.1,0.0,0.0,0.0,285.0,5.24,33.0,99001.0
20070302:0000,17.01,23.25,0.0,0.0,0.0,282.2,5.31,39.0,99001.0
20070302:0100,16.04,23.7,0.0,0.0,0.0,279.4,5.24,46.0,98953.0
20070302:0200,15.1,23.15,0.0,0.0,0.0,276.8,5.03,54.0,98953.0
20070302:0300,14.15,22.05,0.0,0.0,0.0,274.6,4.76,60.0,98934.0
20070302:0400,13.22,21.25,0.0,0.0,0.0,273.0,4.55,66.0,98943.0
20070302:0500,12.28,21.35,0.0,0.0,0.0,272.4,4.28,69.0,98943.0
20070302:0600,11.35,22.35,0.0,0.0,0.0,271.4,4.07,68.0,99001.0
20070302:0700,10.63,24.5,115.0,418.86,52.0,272.2,3.86,66.0,99060.0
20070302:0800,12.42,21.85,348.0,654.36,110.0,274.8,3.31,66.0,99118.0
20070302:0900,16.4,17.2,560.0,736.91,156.0,280.4,3.1,68.0,99176.0
20070302:1000,20.42,13.6,735.0,802.73,180.0,289.0,2.69,65.0,99205.0
20070302:1100,23.64,11.1,840.0,805.42,209.0,298.6,2.76,58.0,99176.0
20070302:1200,25.67,10.0,878.0,801.86,222.0,306.6,3.31,52.0,99079.0
20070302:1300,27.01,10.5,842.0,778.05,225.0,311.8,4.0,47.0,99001.0
20070302:1400,27.85,11.0,753.0,794.5,189.0,315.0,4.34,44.0,98895.0
20070302:1500,28.27,10.95,584.0,720.78,170.0,317.2,4.55,39.0,98827.0
20070302:1600,28.35,10.95,379.0,641.84,125.0,317.0,4.76,34.0,98808.0
20070302:1700,27.96,11.35,149.0,445.93,66.0,316.0,4.9,28.0,98798.0
20070302:1800,26.42,12.75,0.0,0.0,0.0,313.0,4.34,12.0,98808.0
20070302:1900,24.65,14.55,0.0,0.0,0.0,310.2,5.17,11.0,98866.0
20070302:2000,23.31,15.9,0.0,0.0,0.0,307.2,5.52,14.0,98914.0
20070302:2100,22.2,17.15,0.0,0.0,0.0,304.0,5.59,21.0,98972.0
20070302:2200,21.15,18.5,0.0,0.0,0.0,301.6,5.45,27.0,99021.0
20070302:2300,20.13,19.9,0.0,0.0,0.0,299.0,5.38,33.0,99011.0
20070303:0000,19.18,21.35,0.0,0.0,0.0,296.6,5.45,39.0,99011.0
20070303:0100,18.25,22.9,0.0,0.0,0.0,293.6,5.45,46.0,98963.0
20070303:0200,17.29,24.35,0.0,0.0,0.0,289.6,5.38,54.0,98953.0
20070303:0300,16.3,25.25,0.0,0.0,0.0,285.2,5.1,62.0,98924.0
20070303:0400,15.3,25.5,0.0,0.0,0.0,282.2,4.83,70.0,98895.0
20070303:0500,14.37,25.45,0.0,0.0,0.0,278.4,4.62,76.0,98914.0
20070303:0600,13.49,25.45,0.0,0.0,0.0,276.4,4.41,78.0,98943.0
20070303:0700,12.77,26.85,118.0,414.49,54.0,276.6,4.14,80.0,98992.0
20070303:0800,14.57,23.35,352.0,657.94,110.0,279.8,3.52,79.0,99060.0
20070303:0900,18.56,17.7,564.0,738.63,156.0,286.0,3.38,74.0,99118.0
20070303:1000,22.48,13.75,744.0,819.55,174.0,294.2,3.24,67.0,99147.0
20070303:1100,25.35,12.45,849.0,822.91,201.0,303.8,3.59,59.0,99118.0
20070303:1200,27.08,12.5,877.0,785.94,231.0,311.0,4.48,57.0,99031.0
20070303:1300,28.19,11.4,846.0,778.27,226.0,316.4,4.9,56.0,98943.0
20070303:1400,28.95,10.4,753.0,779.52,197.0,319.6,4.9,56.0,98856.0
20070303:1500,29.38,9.75,591.0,735.94,166.0,320.8,4.69,55.0,98778.0
20070303:1600,29.48,9.4,377.0,619.7,130.0,320.0,4.55,53.0,98749.0
20070303:1700,29.25,9.3,150.0,439.81,67.0,318.2,4.21,50.0,98730.0
20070303:1800,27.77,10.35,0.0,0.0,0.0,315.4,3.24,30.0,98759.0
20070303:1900,25.73,13.0,0.0,0.0,0.0,312.6,3.93,8.0,98798.0
20070303:2000,24.06,15.45,0.0,0.0,0.0,310.4,4.55,10.0,98866.0
20070303:2100,22.75,17.7,0.0,0.0,0.0,307.8,4.97,17.0,98895.0
20070303:2200,21.62,19.5,0.0,0.0,0.0,304.6,5.1,25.0,98924.0
20070303:2300,20.55,21.05,0.0,0.0,0.0,301.2,5.17,34.0,98904.0
20070304:0000,19.43,22.55,0.0,0.0,0.0,297.4,5.1,41.0,98924.0
20070304:0100,18.15,23.85,0.0,0.0,0.0,292.2,4.83,48.0,98856.0
20070304:0200,16.81,24.2,0.0,0.0,0.0,287.2,4.55,56.0,98837.0
20070304:0300,15.56,23.1,0.0,0.0,0.0,282.8,4.41,64.0,98788.0
20070304:0400,14.6,20.75,0.0,0.0,0.0,279.0,4.62,75.0,98769.0
