time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20171127:1600,15.25,42.75,61.0,362.96,29.0,293.8,3.45,54.0,96461.0
20171127:1700,14.28,46.25,0.0,0.0,0.0,297.2,2.55,67.0,96480.0
20171127:1800,13.24,50.5,0.0,0.0,0.0,288.8,2.41,76.0,96509.0
20171127:1900,12.33,56.05,0.0,0.0,0.0,284.4,2.48,76.0,96556.0
20171127:2000,11.38,60.8,0.0,0.0,0.0,282.6,2.34,79.0,96574.0
20171127:2100,10.36,66.45,0.0,0.0,0.0,277.8,2.21,86.0,96603.0
20171127:2200,9.36,72.65,0.0,0.0,0.0,279.2,2.0,96.0,96584.0
20171127:2300,8.28,79.95,0.0,0.0,0.0,272.2,1.86,105.0,96565.0
20171128:0000,8.37,80.9,0.0,0.0,0.0,269.8,1.31,111.0,96546.0
20171128:0100,8.99,78.55,0.0,0.0,0.0,266.4,0.76,126.0,96509.0
20171128:0200,8.64,81.25,0.0,0.0,0.0,265.0,0.28,168.0,96518.0
20171128:0300,8.32,83.5,0.0,0.0,0.0,262.4,0.48,279.0,96490.0
20171128:0400,8.04,85.15,0.0,0.0,0.0,266.8,1.03,298.0,96480.0
20171128:0500,7.86,86.45,0.0,0.0,0.0,270.8,0.9,292.0,96490.0
20171128:0600,7.79,87.8,0.0,0.0,0.0,273.4,0.69,262.0,96509.0
20171128:0700,7.72,83.8,0.0,0.0,0.0,278.2,1.1,348.0,96480.0
20171128:0800,8.5,81.75,282.0,655.14,86.0,284.0,0.62,26.0,96490.0
20171128:0900,10.22,76.75,455.0,808.11,99.0,285.4,0.97,106.0,96490.0
20171128:1000,12.2,70.6,579.0,885.65,102.0,290.4,1.86,143.0,96499.0
20171128:1100,13.73,62.75,637.0,894.91,112.0,293.8,2.48,168.0,96405.0
20171128:1200,15.01,55.0,620.0,842.72,130.0,298.6,3.03,187.0,96283.0
20171128:1300,15.96,49.0,551.0,829.29,117.0,302.6,3.59,202.0,96160.0
