time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,6.19,66.03,0.0,0.0,0.0,256.58,2.82,306.0,96800.0
20120101:0100,5.49,69.15,0.0,0.0,0.0,255.64,3.01,315.0,96753.0
20120101:0200,4.8,72.26,0.0,0.0,0.0,254.7,3.21,323.0,96753.0
20120101:0300,4.1,75.38,0.0,0.0,0.0,253.77,3.4,328.0,96725.0
20120101:0400,3.4,78.5,0.0,0.0,0.0,252.83,3.59,331.0,96687.0
20120101:0500,2.71,81.62,0.0,0.0,0.0,251.89,3.78,333.0,96725.0
20120101:0600,2.01,84.74,0.0,0.0,0.0,250.95,3.98,334.0,96772.0
20120101:0700,1.31,87.85,17.0,0.0,17.0,250.01,4.17,332.0,96800.0
20120101:0800,3.75,78.75,217.0,605.94,73.0,252.4,2.69,331.0,96866.0
20120101:0900,7.67,59.65,397.0,796.73,89.0,257.0,2.14,335.0,96923.0
20120101:1000,11.46,44.55,525.0,842.66,108.0,263.2,1.59,346.0,96951.0
20120101:1100,13.19,36.75,599.0,870.1,116.0,270.6,0.69,356.0,96876.0
20120101:1200,14.28,31.75,609.0,873.55,117.0,275.8,0.28,242.0,96791.0
20120101:1300,15.15,28.4,556.0,867.66,106.0,278.2,0.97,219.0,96716.0
20120101:1400,15.71,26.45,438.0,798.77,99.0,279.2,1.31,215.0,96650.0
20120101:1500,15.91,25.65,278.0,724.89,70.0,279.0,1.52,210.0,96650.0
20120101:1600,15.73,25.85,90.0,493.02,33.0,277.0,1.59,203.0,96669.0
20120101:1700,14.72,28.5,0.0,0.0,0.0,273.8,1.93,188.0,96697.0
20120101:1800,13.19,32.2,0.0,0.0,0.0,272.2,2.34,193.0,96753.0
20120101:1900,11.88,36.15,0.0,0.0,0.0,272.2,2.9,194.0,96791.0
20120101:2000,10.74,39.15,0.0,0.0,0.0,270.2,3.03,208.0,96857.0
20120101:2100,9.68,42.25,0.0,0.0,0.0,268.8,3.1,224.0,96866.0
20120101:2200,8.71,45.45,0.0,0.0,0.0,267.4,3.17,238.0,96876.0
20120101:2300,7.86,48.9,0.0,0.0,0.0,265.8,3.31,248.0,96885.0
20120102:0000,7.15,52.4,0.0,0.0,0.0,264.8,3.52,256.0,96885.0
20120102:0100,6.6,55.65,0.0,0.0,0.0,263.6,3.72,264.0,96885.0
20120102:0200,6.14,58.95,0.0,0.0,0.0,262.6,3.93,273.0,96847.0
20120102:0300,5.76,62.05,0.0,0.0,0.0,261.6,4.07,283.0,96828.0
20120102:0400,5.42,64.6,0.0,0.0,0.0,260.8,4.07,290.0,96781.0
20120102:0500,5.13,66.6,0.0,0.0,0.0,260.0,4.07,294.0,96791.0
20120102:0600,4.85,68.2,0.0,0.0,0.0,260.0,3.93,293.0,96828.0
20120102:0700,4.7,69.3,18.0,0.0,18.0,260.0,3.72,292.0,96847.0
20120102:0800,5.91,63.95,216.0,606.49,72.0,261.6,3.45,288.0,96885.0
20120102:0900,9.42,50.45,399.0,811.94,85.0,265.6,3.24,285.0,96932.0
20120102:1000,12.97,39.4,526.0,841.72,109.0,272.4,3.17,278.0,96951.0
20120102:1100,15.17,33.25,597.0,854.2,122.0,279.2,3.24,273.0,96866.0
20120102:1200,16.45,30.5,614.0,890.92,111.0,284.6,3.17,268.0,96763.0
20120102:1300,17.25,29.05,561.0,885.92,100.0,288.0,3.31,261.0,96687.0
20120102:1400,17.64,28.45,443.0,816.1,95.0,289.6,3.59,262.0,96621.0
20120102:1500,17.68,28.8,282.0,740.08,68.0,289.2,3.93,271.0,96631.0
20120102:1600,17.2,30.55,92.0,508.76,32.0,288.4,3.72,278.0,96631.0
20120102:1700,15.51,35.45,0.0,0.0,0.0,285.8,3.38,274.0,96631.0
20120102:1800,13.85,40.95,0.0,0.0,0.0,283.0,3.59,277.0,96687.0
20120102:1900,13.17,44.5,0.0,0.0,0.0,282.2,3.72,285.0,96734.0
20120102:2000,12.28,48.55,0.0,0.0,0.0,280.2,3.79,292.0,96781.0
20120102:2100,11.49,52.2,0.0,0.0,0.0,278.2,4.21,309.0,96800.0
20120102:2200,11.02,55.4,0.0,0.0,0.0,277.2,4.62,328.0,96857.0
20120102:2300,10.57,60.95,0.0,0.0,0.0,276.8,5.31,340.0,96847.0
20120103:0000,10.09,67.3,0.0,0.0,0.0,275.6,5.66,345.0,96857.0
20120103:0100,9.49,72.5,0.0,0.0,0.0,273.8,5.79,344.0,96847.0
20120103:0200,8.84,76.7,0.0,0.0,0.0,271.0,6.14,344.0,96857.0
20120103:0300,8.24,79.8,0.0,0.0,0.0,267.6,6.41,345.0,96866.0
20120103:0400,7.73,81.4,0.0,0.0,0.0,263.8,6.69,347.0,96885.0
20120103:0500,7.46,81.45,0.0,0.0,0.0,266.0,6.9,349.0,96923.0
20120103:0600,7.14,81.55,0.0,0.0,0.0,258.2,6.69,350.0,97007.0
20120103:0700,6.87,83.8,17.0,0.0,17.0,254.4,6.28,346.0,97026.0
20120103:0800,7.73,77.55,217.0,619.42,70.0,253.0,6.21,345.0,97073.0
20120103:0900,9.81,66.1,395.0,780.4,93.0,257.0,6.69,348.0,97092.0
20120103:1000,11.84,55.15,524.0,826.49,114.0,261.0,7.52,355.0,97064.0
20120103:1100,13.45,46.65,598.0,854.35,122.0,272.0,7.31,0.0,96988.0
20120103:1200,14.62,40.6,608.0,856.81,123.0,272.4,6.76,4.0,96885.0
20120103:1300,15.4,37.3,557.0,852.19,112.0,276.4,6.14,7.0,96781.0
20120103:1400,15.78,35.9,448.0,833.09,91.0,278.8,5.72,8.0,96753.0
20120103:1500,15.75,36.1,285.0,741.11,69.0,279.4,5.31,7.0,96734.0
20120103:1600,15.32,37.5,96.0,531.9,32.0,278.8,4.48,4.0,96744.0
20120103:1700,13.86,41.8,0.0,0.0,0.0,276.6,3.31,1.0,96781.0
20120103:1800,12.47,46.35,0.0,0.0,0.0,274.0,3.24,357.0,96847.0
20120103:1900,11.59,49.35,0.0,0.0,0.0,273.6,3.17,355.0,96894.0
20120103:2000,10.62,52.55,0.0,0.0,0.0,271.8,3.52,354.0,96932.0
20120103:2100,9.82,55.25,0.0,0.0,0.0,270.2,4.0,354.0,96979.0
20120103:2200,9.11,58.3,0.0,0.0,0.0,268.4,4.07,353.0,97026.0
20120103:2300,8.41,62.1,0.0,0.0,0.0,266.6,4.07,348.0,96988.0
20120104:0000,7.74,66.25,0.0,0.0,0.0,264.8,4.0,343.0,97036.0
20120104:0100,7.11,70.2,0.0,0.0,0.0,263.0,4.0,338.0,97017.0
20120104:0200,6.6,73.4,0.0,0.0,0.0,262.0,4.14,337.0,97017.0
20120104:0300,6.18,75.75,0.0,0.0,0.0,260.2,4.34,336.0,97007.0
20120104:0400,5.83,77.45,0.0,0.0,0.0,258.8,4.48,336.0,96998.0
20120104:0500,5.55,78.5,0.0,0.0,0.0,257.2,4.62,338.0,97007.0
20120104:0600,5.28,79.2,0.0,0.0,0.0,255.8,4.55,341.0,97045.0
20120104:0700,4.99,80.2,18.0,0.0,18.0,254.2,4.41,342.0,97083.0
20120104:0800,6.0,74.15,216.0,606.81,72.0,253.2,4.14,343.0,97130.0
20120104:0900,8.69,60.4,393.0,766.76,96.0,255.6,4.28,349.0,97177.0
20120104:1000,11.13,48.25,518.0,795.03,123.0,260.4,4.41,0.0,97186.0
20120104:1100,12.7,39.65,592.0,822.09,133.0,265.2,4.21,12.0,97101.0
20120104:1200,13.79,34.5,603.0,824.48,135.0,269.0,3.79,15.0,96970.0
20120104:1300,14.63,31.15,556.0,837.62,117.0,271.8,3.38,14.0,96857.0
20120104:1400,15.27,28.95,443.0,787.06,104.0,273.4,3.1,11.0,96791.0
20120104:1500,15.61,27.8,284.0,714.69,74.0,274.4,2.76,8.0,96753.0
20120104:1600,15.54,27.95,96.0,488.67,36.0,273.8,2.14,8.0,96744.0
20120104:1700,14.72,30.35,0.0,0.0,0.0,271.0,0.97,14.0,96763.0
20120104:1800,13.66,33.6,0.0,0.0,0.0,269.6,0.55,264.0,96781.0
20120104:1900,11.81,38.7,0.0,0.0,0.0,267.8,2.62,254.0,96781.0
20120104:2000,10.11,44.6,0.0,0.0,0.0,265.8,3.24,267.0,96791.0
20120104:2100,9.0,48.85,0.0,0.0,0.0,262.8,3.72,291.0,96800.0
20120104:2200,8.68,51.0,0.0,0.0,0.0,260.4,4.62,322.0,96847.0
20120104:2300,8.7,52.75,0.0,0.0,0.0,259.0,5.03,333.0,96866.0
20120105:0000,8.19,56.25,0.0,0.0,0.0,257.2,4.76,331.0,96828.0
20120105:0100,7.43,60.6,0.0,0.0,0.0,254.4,4.62,325.0,96810.0
20120105:0200,6.73,64.25,0.0,0.0,0.0,251.6,4.97,320.0,96753.0
20120105:0300,6.46,64.6,0.0,0.0,0.0,251.8,5.59,327.0,96819.0
20120105:0400,6.31,62.35,0.0,0.0,0.0,249.2,5.72,331.0,96828.0
20120105:0500,6.08,60.7,0.0,0.0,0.0,249.6,5.59,329.0,96819.0
20120105:0600,5.83,60.65,0.0,0.0,0.0,249.8,5.59,327.0,96819.0
20120105:0700,5.48,64.1,17.0,0.0,17.0,248.4,5.79,333.0,96828.0
20120105:0800,6.69,59.65,217.0,619.22,70.0,249.4,5.79,337.0,96904.0
20120105:0900,9.35,50.35,396.0,781.32,93.0,252.2,5.79,340.0,96941.0
20120105:1000,12.07,41.2,522.0,811.72,118.0,257.4,6.41,347.0,96885.0
20120105:1100,14.11,33.75,597.0,838.07,128.0,263.2,6.34,352.0,96800.0
20120105:1200,15.56,29.25,609.0,841.38,130.0,269.0,6.07,355.0,96659.0
20120105:1300,16.54,26.75,562.0,855.32,112.0,273.6,5.59,357.0,96574.0
20120105:1400,17.15,25.3,448.0,803.7,100.0,276.6,5.45,357.0,96499.0
20120105:1500,17.41,24.85,289.0,732.39,72.0,278.2,5.31,356.0,96480.0
20120105:1600,17.09,25.75,98.0,478.82,38.0,277.8,3.93,353.0,96471.0
20120105:1700,15.69,28.8,0.0,0.0,0.0,276.0,2.55,328.0,96490.0
20120105:1800,13.98,32.9,0.0,0.0,0.0,273.2,3.1,300.0,96490.0
20120105:1900,12.65,37.3,0.0,0.0,0.0,273.4,3.45,303.0,96490.0
20120105:2000,11.69,40.3,0.0,0.0,0.0,271.6,3.86,300.0,96490.0
20120105:2100,10.84,43.45,0.0,0.0,0.0,269.4,4.21,298.0,96461.0
20120105:2200,10.13,46.6,0.0,0.0,0.0,267.8,4.55,298.0,96443.0
20120105:2300,9.56,49.35,0.0,0.0,0.0,265.0,5.03,299.0,96377.0
20120106:0000,9.14,51.05,0.0,0.0,0.0,261.8,5.52,298.0,96311.0
20120106:0100,8.78,51.5,0.0,0.0,0.0,258.8,5.86,297.0,96273.0
20120106:0200,8.43,50.45,0.0,0.0,0.0,255.6,6.21,296.0,96198.0
20120106:0300,8.15,48.15,0.0,0.0,0.0,253.8,6.48,298.0,96104.0
20120106:0400,8.03,44.55,0.0,0.0,0.0,251.2,6.69,301.0,96085.0
20120106:0500,8.11,40.05,0.0,0.0,0.0,249.4,6.97,307.0,96066.0
20120106:0600,8.4,35.25,0.0,0.0,0.0,247.8,7.17,313.0,96085.0
20120106:0700,8.99,30.5,19.0,0.0,19.0,246.2,7.59,317.0,96047.0
20120106:0800,10.61,26.15,184.0,345.14,102.0,246.2,7.93,322.0,96104.0
20120106:0900,13.3,21.75,376.0,654.0,122.0,253.4,7.31,325.0,96123.0
20120106:1000,15.82,19.1,520.0,796.09,123.0,261.2,7.1,323.0,96104.0
20120106:1100,17.4,19.35,619.0,939.38,92.0,271.0,7.1,324.0,96019.0
20120106:1200,18.54,22.45,641.0,998.11,71.0,282.2,7.52,331.0,95953.0
20120106:1300,19.47,25.5,592.0,1010.93,58.0,290.6,8.28,338.0,95897.0
20120106:1400,19.89,28.05,460.0,868.24,82.0,295.6,8.41,344.0,95822.0
20120106:1500,19.65,30.35,280.0,639.18,89.0,297.6,8.34,352.0,95812.0
20120106:1600,18.82,33.25,98.0,453.48,40.0,297.6,7.03,356.0,95850.0
20120106:1700,17.08,38.25,0.0,0.0,0.0,295.0,6.07,358.0,95897.0
20120106:1800,15.61,43.2,0.0,0.0,0.0,291.0,6.21,0.0,95991.0
20120106:1900,14.77,45.85,0.0,0.0,0.0,288.8,5.93,1.0,96057.0
20120106:2000,13.74,49.9,0.0,0.0,0.0,284.6,5.72,360.0,96170.0
20120106:2100,12.69,54.55,0.0,0.0,0.0,281.2,5.31,356.0,96207.0
20120106:2200,11.66,59.65,0.0,0.0,0.0,278.2,4.97,350.0,96207.0
20120106:2300,10.92,64.0,0.0,0.0,0.0,286.4,4.83,349.0,96273.0
20120107:0000,10.1,68.9,0.0,0.0,0.0,283.8,4.55,353.0,96292.0
20120107:0100,9.79,71.5,0.0,0.0,0.0,305.0,4.21,355.0,96358.0
20120107:0200,9.42,74.15,0.0,0.0,0.0,308.6,3.86,353.0,96377.0
20120107:0300,8.68,78.0,0.0,0.0,0.0,291.4,4.07,349.0,96414.0
20120107:0400,7.86,80.55,0.0,0.0,0.0,274.6,4.55,346.0,96452.0
20120107:0500,7.05,80.15,0.0,0.0,0.0,257.6,5.03,345.0,96537.0
20120107:0600,6.45,76.55,0.0,0.0,0.0,251.8,5.38,345.0,96631.0
20120107:0700,5.92,75.7,19.0,0.0,19.0,249.6,4.9,342.0,96678.0
20120107:0800,6.8,67.5,230.0,748.29,52.0,248.6,5.1,345.0,96744.0
20120107:0900,8.91,55.8,388.0,722.27,107.0,251.4,6.07,352.0,96810.0
20120107:1000,10.46,46.75,498.0,678.31,159.0,255.4,7.38,5.0,96904.0
20120107:1100,11.52,40.1,611.0,888.89,111.0,260.6,7.17,13.0,96828.0
20120107:1200,12.42,35.3,654.0,1054.18,50.0,266.0,6.9,17.0,96763.0
20120107:1300,13.08,32.0,542.0,733.37,153.0,271.4,6.62,20.0,96669.0
20120107:1400,13.41,30.05,290.0,148.47,225.0,274.6,6.21,22.0,96631.0
20120107:1500,13.49,29.25,255.0,447.87,120.0,273.2,5.79,24.0,96612.0
20120107:1600,13.18,30.05,99.0,436.6,42.0,269.8,5.03,28.0,96603.0
20120107:1700,12.07,33.2,0.0,0.0,0.0,272.8,3.52,36.0,96631.0
20120107:1800,10.81,37.0,0.0,0.0,0.0,267.6,2.83,44.0,96697.0
20120107:1900,9.22,43.4,0.0,0.0,0.0,264.0,2.48,66.0,96716.0
20120107:2000,8.23,47.3,0.0,0.0,0.0,260.6,1.93,75.0,96772.0
20120107:2100,8.07,48.45,0.0,0.0,0.0,262.2,0.9,78.0,96763.0
20120107:2200,8.13,48.15,0.0,0.0,0.0,254.4,0.62,322.0,96791.0
20120107:2300,5.29,59.15,0.0,0.0,0.0,251.2,2.14,321.0,96763.0
20120108:0000,4.52,62.65,0.0,0.0,0.0,249.2,2.9,324.0,96781.0
20120108:0100,3.65,67.2,0.0,0.0,0.0,246.2,3.1,323.0,96781.0
20120108:0200,3.1,70.75,0.0,0.0,0.0,244.8,3.31,324.0,96753.0
20120108:0300,2.77,74.1,0.0,0.0,0.0,244.8,3.45,327.0,96781.0
20120108:0400,2.46,78.35,0.0,0.0,0.0,243.0,3.59,332.0,96706.0
20120108:0500,2.16,82.45,0.0,0.0,0.0,241.4,3.59,337.0,96725.0
20120108:0600,1.86,85.0,0.0,0.0,0.0,240.6,3.45,338.0,96763.0
20120108:0700,1.77,85.8,17.0,0.0,17.0,239.4,3.45,345.0,96791.0
20120108:0800,2.76,82.2,217.0,604.36,73.0,240.6,2.9,343.0,96857.0
20120108:0900,6.32,63.15,402.0,810.61,86.0,244.4,2.48,348.0,96904.0
20120108:1000,9.05,50.7,529.0,828.4,114.0,250.6,2.14,9.0,96913.0
20120108:1100,10.34,46.5,599.0,822.55,135.0,256.8,2.0,39.0,96819.0
20120108:1200,11.22,43.35,619.0,859.23,125.0,260.8,1.59,44.0,96716.0
20120108:1300,11.86,40.75,570.0,857.86,113.0,263.2,1.31,39.0,96612.0
20120108:1400,12.36,38.6,456.0,808.46,100.0,264.0,1.24,34.0,96546.0
20120108:1500,12.55,37.6,299.0,753.04,70.0,263.6,0.97,36.0,96546.0
20120108:1600,12.39,37.6,107.0,517.74,38.0,262.0,0.62,46.0,96518.0
20120108:1700,11.96,38.85,0.0,0.0,0.0,258.4,0.76,140.0,96518.0
20120108:1800,11.02,42.0,0.0,0.0,0.0,256.6,1.52,180.0,96565.0
20120108:1900,9.6,49.0,0.0,0.0,0.0,255.4,1.66,187.0,96574.0
20120108:2000,8.36,53.55,0.0,0.0,0.0,253.8,2.14,213.0,96593.0
20120108:2100,7.25,57.5,0.0,0.0,0.0,251.8,2.62,235.0,96603.0
20120108:2200,6.15,61.35,0.0,0.0,0.0,249.8,2.97,252.0,96631.0
20120108:2300,5.23,64.2,0.0,0.0,0.0,248.2,3.31,265.0,96584.0
20120109:0000,4.64,65.7,0.0,0.0,0.0,246.2,3.72,273.0,96584.0
20120109:0100,4.19,66.65,0.0,0.0,0.0,244.8,4.0,282.0,96574.0
20120109:0200,3.82,68.1,0.0,0.0,0.0,243.2,4.21,293.0,96499.0
20120109:0300,3.49,69.95,0.0,0.0,0.0,241.4,4.41,302.0,96490.0
20120109:0400,3.14,72.15,0.0,0.0,0.0,239.4,4.41,306.0,96424.0
20120109:0500,2.79,73.75,0.0,0.0,0.0,238.2,4.41,308.0,96424.0
20120109:0600,2.43,74.35,0.0,0.0,0.0,237.2,4.34,307.0,96414.0
20120109:0700,2.06,75.3,17.0,0.0,17.0,236.0,4.28,305.0,96443.0
20120109:0800,3.23,66.15,215.0,582.18,76.0,236.2,3.93,310.0,96490.0
20120109:0900,6.61,49.25,399.0,780.63,94.0,239.8,3.59,316.0,96546.0
20120109:1000,10.05,37.15,527.0,812.33,119.0,245.2,3.17,328.0,96556.0
20120109:1100,12.31,30.55,601.0,823.61,135.0,250.6,2.97,352.0,96499.0
20120109:1200,13.63,26.6,618.0,844.02,131.0,255.2,2.55,17.0,96386.0
20120109:1300,14.37,24.45,569.0,840.96,119.0,257.8,2.21,31.0,96311.0
20120109:1400,14.91,23.2,452.0,763.05,114.0,258.8,2.55,37.0,96273.0
20120109:1500,15.1,22.85,299.0,726.74,76.0,258.6,3.17,40.0,96311.0
20120109:1600,14.8,23.45,109.0,507.17,40.0,257.6,3.24,46.0,96339.0
20120109:1700,13.47,26.2,0.0,0.0,0.0,255.4,2.41,54.0,96396.0
20120109:1800,12.25,28.9,0.0,0.0,0.0,253.0,2.0,50.0,96461.0
20120109:1900,10.27,36.3,0.0,0.0,0.0,251.0,1.52,39.0,96509.0
20120109:2000,9.36,38.6,0.0,0.0,0.0,248.6,1.38,11.0,96574.0
20120109:2100,8.29,41.3,0.0,0.0,0.0,247.8,1.66,355.0,96593.0
20120109:2200,6.92,45.0,0.0,0.0,0.0,247.4,2.14,354.0,96631.0
20120109:2300,5.88,47.0,0.0,0.0,0.0,247.4,2.97,356.0,96669.0
20120110:0000,5.21,46.95,0.0,0.0,0.0,247.0,3.45,358.0,96678.0
20120110:0100,4.78,45.6,0.0,0.0,0.0,248.2,3.86,2.0,96716.0
20120110:0200,4.72,45.65,0.0,0.0,0.0,249.4,4.28,11.0,96725.0
20120110:0300,4.68,51.65,0.0,0.0,0.0,250.0,4.62,16.0,96772.0
20120110:0400,4.55,62.25,0.0,0.0,0.0,249.4,4.9,21.0,96772.0
20120110:0500,4.3,71.55,0.0,0.0,0.0,248.4,4.9,25.0,96810.0
20120110:0600,3.96,77.8,0.0,0.0,0.0,247.6,4.69,29.0,96866.0
20120110:0700,3.51,82.8,17.0,0.0,17.0,246.2,4.55,35.0,96932.0
20120110:0800,4.39,78.8,220.0,630.87,69.0,247.0,4.21,40.0,97007.0
20120110:0900,6.94,64.55,402.0,796.53,90.0,251.0,4.28,48.0,97083.0
20120110:1000,9.06,52.8,535.0,843.83,110.0,256.8,4.48,63.0,97139.0
20120110:1100,10.52,46.85,610.0,858.0,123.0,262.4,4.28,77.0,97101.0
20120110:1200,11.55,43.65,627.0,878.85,118.0,266.8,3.93,87.0,96988.0
20120110:1300,12.29,41.55,579.0,876.16,108.0,269.6,3.79,94.0,96923.0
20120110:1400,12.73,40.55,463.0,810.05,102.0,271.2,3.72,97.0,96838.0
20120110:1500,12.75,41.0,304.0,742.74,74.0,269.8,3.72,98.0,96847.0
20120110:1600,12.37,42.8,116.0,590.43,34.0,268.8,3.86,100.0,96838.0
20120110:1700,11.17,47.55,0.0,0.0,0.0,266.0,3.24,101.0,96866.0
20120110:1800,9.9,52.9,0.0,0.0,0.0,263.2,3.1,100.0,96941.0
20120110:1900,9.03,58.35,0.0,0.0,0.0,262.2,3.17,96.0,96979.0
20120110:2000,8.12,62.7,0.0,0.0,0.0,262.0,2.83,99.0,97064.0
20120110:2100,7.12,67.3,0.0,0.0,0.0,259.6,2.28,104.0,97083.0
20120110:2200,6.01,72.75,0.0,0.0,0.0,258.0,1.59,109.0,97111.0
20120110:2300,6.65,69.0,0.0,0.0,0.0,255.4,1.03,108.0,97083.0
20120111:0000,6.64,68.75,0.0,0.0,0.0,252.0,0.48,91.0,97092.0
20120111:0100,6.3,70.0,0.0,0.0,0.0,249.4,0.34,33.0,97073.0
20120111:0200,5.95,71.35,0.0,0.0,0.0,248.0,0.55,5.0,97083.0
20120111:0300,5.61,72.6,0.0,0.0,0.0,246.8,0.76,347.0,97073.0
20120111:0400,5.25,73.8,0.0,0.0,0.0,245.2,1.03,329.0,97045.0
20120111:0500,4.64,75.7,0.0,0.0,0.0,244.2,1.31,318.0,97073.0
20120111:0600,3.41,79.2,0.0,0.0,0.0,243.0,1.59,320.0,97092.0
20120111:0700,1.47,84.3,18.0,0.0,18.0,240.8,2.0,336.0,97130.0
20120111:0800,1.66,86.1,216.0,583.22,76.0,241.0,2.0,331.0,97130.0
20120111:0900,5.13,72.1,401.0,781.59,94.0,244.8,1.24,329.0,97186.0
20120111:1000,8.16,56.05,534.0,829.45,115.0,250.2,0.62,318.0,97195.0
20120111:1100,9.52,50.35,605.0,825.29,135.0,256.4,0.34,249.0,97130.0
20120111:1200,10.67,44.6,623.0,846.2,131.0,261.2,0.48,212.0,97045.0
20120111:1300,11.52,39.05,572.0,827.58,125.0,267.2,0.55,183.0,96932.0
20120111:1400,12.07,35.5,460.0,780.52,110.0,270.6,0.76,142.0,96894.0
20120111:1500,12.23,34.1,307.0,745.49,74.0,268.4,1.24,123.0,96894.0
20120111:1600,12.07,33.55,115.0,529.01,40.0,269.8,1.79,124.0,96894.0
20120111:1700,11.24,34.45,0.0,0.0,0.0,270.6,2.28,138.0,96923.0
20120111:1800,10.0,35.55,0.0,0.0,0.0,268.0,2.76,145.0,96998.0
20120111:1900,9.07,36.25,0.0,0.0,0.0,264.6,2.55,151.0,97026.0
20120111:2000,8.1,37.9,0.0,0.0,0.0,257.8,2.55,160.0,97101.0
20120111:2100,7.08,40.65,0.0,0.0,0.0,254.2,2.41,175.0,97111.0
20120111:2200,6.03,44.1,0.0,0.0,0.0,249.2,2.21,190.0,97148.0
20120111:2300,4.94,48.2,0.0,0.0,0.0,248.0,1.93,204.0,97177.0
20120112:0000,4.64,49.3,0.0,0.0,0.0,246.6,1.66,220.0,97177.0
20120112:0100,4.62,49.35,0.0,0.0,0.0,243.6,1.52,241.0,97186.0
20120112:0200,4.93,48.2,0.0,0.0,0.0,242.2,1.38,267.0,97158.0
20120112:0300,4.49,49.7,0.0,0.0,0.0,240.6,1.45,294.0,97148.0
20120112:0400,3.08,54.8,0.0,0.0,0.0,239.2,1.86,317.0,97139.0
20120112:0500,1.81,59.85,0.0,0.0,0.0,237.6,2.21,330.0,97148.0
20120112:0600,0.91,63.85,0.0,0.0,0.0,236.0,2.48,339.0,97205.0
20120112:0700,-0.12,71.6,17.0,0.0,17.0,235.0,2.69,340.0,97243.0
20120112:0800,1.04,67.85,219.0,606.2,73.0,235.4,2.14,345.0,97299.0
20120112:0900,5.08,52.55,409.0,827.46,83.0,239.0,1.24,16.0,97365.0
20120112:1000,8.48,39.1,544.0,878.13,99.0,244.4,1.86,73.0,97412.0
20120112:1100,9.86,33.6,614.0,859.15,123.0,249.2,2.76,101.0,97355.0
20120112:1200,10.71,31.1,629.0,863.34,125.0,252.2,3.03,115.0,97233.0
20120112:1300,11.26,30.4,575.0,829.09,125.0,253.4,3.03,126.0,97158.0
20120112:1400,11.51,30.45,469.0,813.28,102.0,254.2,2.9,135.0,97101.0
20120112:1500,11.48,30.85,309.0,732.18,78.0,253.8,2.62,142.0,97064.0
20120112:1600,11.16,31.9,124.0,628.8,33.0,252.2,2.48,147.0,97083.0
20120112:1700,10.16,35.1,0.0,0.0,0.0,249.4,2.28,149.0,97111.0
20120112:1800,8.94,39.05,0.0,0.0,0.0,247.2,2.41,154.0,97130.0
20120112:1900,7.95,42.95,0.0,0.0,0.0,245.4,2.28,158.0,97195.0
20120112:2000,6.85,47.0,0.0,0.0,0.0,243.8,2.21,173.0,97195.0
20120112:2100,5.69,51.65,0.0,0.0,0.0,243.0,2.14,186.0,97224.0
20120112:2200,4.62,56.25,0.0,0.0,0.0,240.6,2.14,200.0,97224.0
20120112:2300,3.77,60.15,0.0,0.0,0.0,240.0,2.14,211.0,97177.0
20120113:0000,3.16,63.2,0.0,0.0,0.0,239.4,2.14,225.0,97186.0
20120113:0100,2.42,66.8,0.0,0.0,0.0,236.8,2.28,242.0,97148.0
20120113:0200,1.6,71.05,0.0,0.0,0.0,236.2,2.55,258.0,97167.0
20120113:0300,1.05,74.05,0.0,0.0,0.0,237.4,2.83,270.0,97139.0
20120113:0400,0.49,77.15,0.0,0.0,0.0,238.2,3.03,279.0,97111.0
20120113:0500,-0.04,79.6,0.0,0.0,0.0,240.6,3.03,287.0,97111.0
20120113:0600,-0.55,82.05,0.0,0.0,0.0,240.8,2.97,293.0,97111.0
20120113:0700,-0.87,84.5,17.0,0.0,17.0,241.8,2.9,299.0,97111.0
20120113:0800,0.0,82.3,222.0,632.91,69.0,241.2,2.28,300.0,97120.0
20120113:0900,4.11,62.55,408.0,814.63,86.0,239.8,1.72,298.0,97158.0
20120113:1000,7.66,48.15,543.0,863.39,104.0,248.6,1.31,273.0,97167.0
20120113:1100,9.06,44.0,572.0,662.5,192.0,249.2,1.86,218.0,97073.0
20120113:1200,10.15,40.0,487.0,337.76,289.0,252.0,2.55,210.0,96951.0
20120113:1300,10.96,36.45,619.0,1048.6,47.0,252.4,3.1,215.0,96847.0
20120113:1400,11.52,33.85,500.0,990.8,50.0,252.8,3.45,224.0,96791.0
20120113:1500,11.65,32.65,304.0,668.75,91.0,252.6,3.66,231.0,96716.0
20120113:1600,11.37,32.75,120.0,521.27,43.0,251.2,3.72,237.0,96697.0
20120113:1700,10.17,36.2,0.0,0.0,0.0,248.4,3.03,237.0,96706.0
20120113:1800,8.69,40.75,0.0,0.0,0.0,246.2,3.1,244.0,96734.0
20120113:1900,7.71,44.8,0.0,0.0,0.0,244.8,3.17,250.0,96744.0
20120113:2000,6.69,48.2,0.0,0.0,0.0,243.2,3.38,259.0,96763.0
20120113:2100,5.74,51.55,0.0,0.0,0.0,242.0,3.59,264.0,96772.0
20120113:2200,4.99,54.2,0.0,0.0,0.0,241.6,3.79,264.0,96781.0
20120113:2300,4.44,56.05,0.0,0.0,0.0,241.4,4.07,261.0,96697.0
20120114:0000,4.06,57.35,0.0,0.0,0.0,241.8,4.41,260.0,96678.0
20120114:0100,3.77,58.4,0.0,0.0,0.0,243.2,4.69,262.0,96640.0
20120114:0200,3.52,59.35,0.0,0.0,0.0,244.8,4.9,264.0,96621.0
20120114:0300,3.24,60.6,0.0,0.0,0.0,246.2,5.03,266.0,96584.0
